,discriminator,generator,fooling,wasserstein distance
0,-0.0011290915310382843,0.06336392164230346,0.4841651277882712,0.37913564
1,-0.017688078699367386,0.028564230778387614,0.4928596224103655,0.25605953
2,-0.04882166247282709,0.009566058305998533,0.49760757855006627,0.19377808
3,-0.06980977207422256,-0.019019153769061502,0.5047294931752341,0.1789974
4,-0.048070355291877476,-0.05848868781966823,0.5145268559455871,0.17957027
5,-0.009297462978533335,-0.06710109125290598,0.5167256985391889,0.16688095
6,-0.017511744903666634,-0.015749635020412305,0.5039524938379015,0.15925685
7,-0.04767764556620802,0.027582927766655174,0.49312557407787866,0.22443363
8,-0.084298724681139,0.0342297031677195,0.49146447096552165,0.16430202
9,-0.10338285395077297,0.01564285218565991,0.4960998748029981,0.15425067
10,-0.12445188590458461,-0.001281406989853297,0.5003051630088261,0.14223243
11,-0.1434577350105558,-0.012859055118730924,0.5031629094055721,0.15610155
12,-0.14889493393046516,-0.011241863240970165,0.5027636238506862,0.14974752
13,-0.15523320926087245,-0.013196363769072508,0.5032393753528595,0.15512343
14,-0.15936810310397828,-0.007947507300247838,0.5019166716507503,0.18654062
15,-0.16692333221435546,0.004062716566425349,0.4987841248512268,0.1685823
16,-0.17341237706797463,-0.004679147832627808,0.5007006594112942,0.1744811
17,-0.18588047793933324,-0.004709012536997241,0.5006807744503021,0.17270188
18,-0.19160542275224413,-0.017639406085280435,0.5038105530398233,0.17538154
19,-0.18967538220541819,0.005881751556963926,0.49807614684104917,0.15660802
20,-0.20363268979958127,-0.011323057740394557,0.5021172412804195,0.15837726
21,-0.21069839596748352,-0.0009914251081811797,0.49955230951309204,0.14720415
22,-0.21593133871044431,-0.0037388399213211542,0.4999941289424896,0.14599714
23,-0.23615715205669402,-0.013478052955386894,0.50190081681524,0.15415412
24,-0.22380506992340088,-0.009002978221646377,0.5010211859430586,0.14370167
25,-0.24174412403787884,0.010756354958617261,0.49567702072007314,0.158412
26,-0.24068637916019986,-0.004163856223541578,0.49919941084725517,0.14110494
27,-0.23879608192614146,0.010532466455229691,0.49588666813714166,0.17289494
28,-0.2371498188802174,4.746603579925639e-05,0.49840381145477297,0.14475949
29,-0.24622097654002054,0.007258647500670382,0.4960235186985561,0.14490029
30,-0.230121140394892,0.014648036765200751,0.49529405661991666,0.1639945
31,-0.23328762905938286,0.008904070766376598,0.4958962508610317,0.163706
32,-0.2202236818415778,-0.005792608910373279,0.49990706358637127,0.15517735
33,-0.22037564026457923,0.0022527128923684357,0.49749592116900854,0.19344564
34,-0.21068693612303052,0.009838554305107598,0.4957350969314575,0.15687273
35,-0.2015610477754048,0.0011257588264665433,0.49742143154144286,0.14945193
36,-0.19676858122859683,0.013039035636133381,0.49431435721261163,0.16148221
37,-0.18100427282708031,0.02798578587493726,0.490784900529044,0.15058355
38,-0.17814468634980066,0.020737394324636886,0.49327354771750315,0.17841
39,-0.16578599320990697,0.022824967705777712,0.49265487704958233,0.20781088
40,-0.14815594341073718,0.023936619236649546,0.49266937715666637,0.17711055
41,-0.14627395740577154,0.02749311071072173,0.4920598498412541,0.16739683
42,-0.12584883687751633,0.01950394161976874,0.49408287320818217,0.19483839
43,-0.09827846065163612,0.031192962991605913,0.491690673998424,0.1538299
44,-0.09209639355540275,0.02928788821445778,0.49202977929796493,0.16961926
45,-0.06896362991205283,0.04404605025026415,0.48866821697780066,0.17006274
46,-0.058340339814977986,0.035992660869045984,0.4906807814325605,0.14857359
47,-0.04208846295784627,0.03328395844437182,0.4914003133773804,0.15501279
48,-0.03640830120337861,0.0071512173295819334,0.4979025772639683,0.14252444
49,-0.029065664245613982,-0.005293381257381822,0.5009881734848023,0.15379567
