epoch,cgan,klcgan,pearson,rklcgan
20,-1.07410645484924,-1.43247139453888,-1.09832727909088,-1.04409170150757
40,-0.951228857040405,-1.19913625717163,-0.910427391529083,-0.834023058414459
60,-0.881018221378326,-0.964345812797546,-0.803728818893433,-0.796114563941956
80,-0.829933941364288,-0.93893039226532,-0.774562358856201,-0.645702958106995
100,-0.641194701194763,-0.867231905460358,-0.733605802059174,-0.57498699426651
120,-0.660297095775604,-0.861652851104736,-0.580700576305389,-0.626734673976898
140,-0.693092107772827,-0.756392002105713,-0.643506944179535,-0.66400009393692
160,-0.750559866428375,-0.730586349964142,-0.602585434913635,-0.63971072435379
180,-0.592383205890656,-0.689019024372101,-0.616634666919708,-0.677882552146912
200,-0.621857881546021,-0.755600273609161,-0.637672543525696,-0.560023605823517
220,-0.575200617313385,-0.609076499938965,-0.561471521854401,-0.539838433265686
240,-0.877112805843353,-0.737920105457306,-0.715881943702698,-0.631138861179352
260,-0.580853462219238,-0.706628084182739,-0.624702453613281,-0.554929494857788
280,-0.550913035869598,-0.947980642318726,-0.596165657043457,-0.673829078674316
300,-0.622838199138641,-0.586571156978607,-0.605103194713593,-0.592104971408844
320,-0.60849517583847,-1.01888978481293,-0.629718899726868,-0.603076338768005
340,-0.567857921123505,-0.590434014797211,-0.56648463010788,-0.579628050327301
360,-0.578145861625671,-0.596443712711334,-0.525663316249847,-0.613595187664032
380,-0.693408668041229,-0.580725610256195,-0.583782732486725,-0.571894764900208
400,-0.59780615568161,-0.581792771816254,-0.693392813205719,-0.592586398124695
420,-0.843212068080902,-0.625775456428528,-0.571439802646637,-0.575701415538788
440,-0.658336102962494,-0.952585697174072,-0.700543463230133,-0.670324563980103
460,-0.560688972473145,-0.556052088737488,-0.620469748973846,-0.552415370941162
480,-0.67760044336319,-0.870477080345154,-0.613321363925934,-0.579822778701782
500,-0.948810279369354,-0.81684547662735,-0.564111828804016,-0.644187808036804
520,-0.607054173946381,-0.577260911464691,-0.551080584526062,-0.607942938804626
540,-0.613571643829346,-0.551301062107086,-0.547211647033691,-0.77241712808609
560,-0.575940668582916,-0.620070219039917,-0.592740297317505,-0.619243562221527
580,-0.588599801063538,-0.567064344882965,-0.5403892993927,-0.654867172241211
600,-0.877606451511383,-0.581152856349945,-0.601467847824097,-0.786540865898132
620,-0.914127051830292,-0.566226541996002,-0.657666027545929,-0.613245904445648
640,-0.641411364078522,-0.840612530708313,-0.572651028633118,-0.559918284416199
660,-0.569654703140259,-0.616219103336334,-0.622002303600311,-0.561481416225433
680,-0.62434333562851,-0.60759425163269,-0.637811779975891,-0.614172339439392
700,-0.605469226837158,-0.582338035106659,-0.575660705566406,-0.595603048801422
720,-0.675337493419647,-0.668953537940979,-0.620255708694458,-0.604708850383759
740,-1.10698652267456,-0.696554660797119,-0.546273648738861,-0.562899231910706
760,-0.670468926429749,-0.611977696418762,-0.583832859992981,-0.663836061954498
780,-0.649653673171997,-0.599170029163361,-0.582620084285736,-0.605730354785919
800,-0.626490235328674,-0.724776923656464,-0.564513444900513,-0.584561288356781
820,-0.557420790195465,-0.545962750911713,-0.695293307304382,-0.567774415016174
840,-0.56845885515213,-0.590477645397186,-0.665292263031006,-0.638179361820221
860,-0.710967123508453,-0.644934713840485,-0.739109039306641,-0.618319034576416
880,-0.650192737579346,-0.770809829235077,-0.642314851284027,-0.582481980323792
900,-0.810933411121368,-0.592972874641418,-0.608264982700348,-0.564103543758392
920,-0.638172626495361,-0.898870468139648,-0.608689725399017,-0.597058594226837
940,-0.64957332611084,-0.540579795837402,-0.756962299346924,-0.571409523487091
960,-0.59352844953537,-0.594407737255096,-0.572261393070221,-0.610760748386383
980,-0.72007691860199,-0.68617594242096,-0.605658710002899,-0.656566441059113
1000,-0.722710371017456,-0.662146866321564,-0.659212946891785,-0.606049001216888
