epoch,cgan,klcgan,pearson,epoch,wcgan
20,-1.11620473861694,-1.1933730840683,-1.12002348899841,100,-1.61102902889252
40,-1.0791437625885,-1.11164820194244,-1.09415829181671,200,-1.58160269260407
60,-1.04624724388123,-1.08411610126495,-1.04989838600159,300,-1.56228888034821
80,-1.00622200965881,-1.07948088645935,-1.04933869838715,400,-1.53302681446075
100,-0.973497867584229,-1.03314340114594,-0.963617324829102,500,-1.4918429851532
120,-0.965739607810974,-0.9826700091362,-0.925688326358795,600,-1.43868911266327
140,-0.946896076202393,-0.965669095516205,-0.919117033481598,700,-1.38745665550232
160,-0.930158197879791,-0.910833418369293,-0.888808608055115,800,-1.35272037982941
180,-0.908087968826294,-0.90632289648056,-0.872802913188934,900,-1.34752511978149
200,-0.891088485717773,-0.909446477890015,-0.865479111671448,1000,-1.34463667869568
220,-0.880005300045013,-0.867619454860687,-0.842007994651794,1100,-1.30698716640472
240,-0.862948894500732,-0.864523053169251,-0.825433433055878,1200,-1.25821709632874
260,-0.866893529891968,-0.83927708864212,-0.829708993434906,1300,-1.21563065052032
280,-0.860641002655029,-0.825080096721649,-0.81054151058197,1400,-1.17771208286285
300,-0.851657092571259,-0.805220603942871,-0.795231461524963,1500,-1.15265345573425
320,-0.844053387641907,-0.802978694438934,-0.785376310348511,1600,-1.14527118206024
340,-0.850322663784027,-0.790908217430115,-0.792474150657654,1700,-1.14648997783661
360,-0.838904559612274,-0.779504418373108,-0.798405587673187,1800,-1.14450240135193
380,-0.838756203651428,-0.780160248279572,-0.790687441825867,1900,-1.13910043239594
400,-0.823996961116791,-0.786570072174072,-0.834665060043335,2000,-1.13495492935181
420,-0.829123675823212,-0.786653339862824,-0.780147552490234,2100,-1.13121438026428
440,-0.829145610332489,-0.784239530563355,-0.791490912437439,2200,-1.13101756572723
460,-0.827311456203461,-0.786121726036072,-0.79168564081192,2300,-1.12544775009155
480,-0.810896456241608,-0.775913894176483,-0.787195980548859,2400,-1.12354016304016
500,-0.843106746673584,-0.790886044502258,-0.772780120372772,2500,-1.12254464626312
520,-0.816883444786072,-0.818308532238007,-0.777277648448944,2600,-1.11807346343994
540,-0.829644203186035,-0.768424212932587,-0.788447439670563,2700,-1.11398124694824
560,-0.817189931869507,-0.780971169471741,-0.781031906604767,2800,-1.11506545543671
580,-0.810623466968536,-0.778457522392273,-0.78249853849411,2900,-1.10796856880188
600,-0.808000564575195,-0.787409484386444,-0.791413843631744,3000,-1.10692858695984
620,-0.827844023704529,-0.789594650268555,-0.779410481452942,3100,-1.10384333133698
640,-0.841890394687653,-0.78898423910141,-0.838255226612091,3200,-1.1024307012558
660,-0.814727485179901,-0.790484130382538,-0.7766153216362,3300,-1.09664225578308
680,-0.818546235561371,-0.792803406715393,-0.800086915493012,3400,-1.09471678733826
700,-0.816997468471527,-0.77539736032486,-0.797874748706818,3500,-1.09044933319092
720,-0.82553106546402,-0.797454178333283,-0.800524711608887,3600,-1.0940181016922
740,-0.828198730945587,-0.785330891609192,-0.758313179016113,3700,-1.08986592292786
760,-0.821289360523224,-0.788420736789703,-0.78615802526474,3800,-1.08759450912476
780,-0.817915201187134,-0.78689306974411,-0.833818674087524,3900,-1.08532857894897
800,-0.8029625415802,-0.787930846214294,-0.776062965393066,4000,-1.08358561992645
820,-0.81914633512497,-0.782975614070892,-0.781788766384125,4100,-1.08273041248322
840,-0.841941058635712,-0.807988703250885,-0.788188576698303,4200,-1.08131635189056
860,-0.807691991329193,-0.775554358959198,-0.783920645713806,4300,-1.07576215267181
880,-0.815537750720978,-0.787404596805573,-0.800222873687744,4400,-1.08055686950684
900,-0.826257824897766,-0.783037602901459,-0.777666509151459,4500,-1.07561802864075
920,-0.80973356962204,-0.795839011669159,-0.782963037490845,4600,-1.07749581336975
940,-0.8479363322258,-0.812264025211334,-0.808458924293518,4700,-1.0735924243927
960,-0.824021339416504,-0.858988761901856,-0.790676534175873,4800,-1.07052981853485
980,-0.863329589366913,-0.791542947292328,-0.789921224117279,4900,-1.07140386104584
1000,-0.927661120891571,-0.808984875679016,-0.775281548500061,5000,-1.06917607784271
1020,-0.850848853588104,-0.878222465515137,-0.782786428928375,5100,-1.06662714481354
1040,-0.900983333587647,-0.788639724254608,-0.789306819438934,5200,-1.05352032184601
1060,-0.905134856700897,-0.837256669998169,-0.77481484413147,5300,-1.05158591270447
1080,-0.869291603565216,-0.799841821193695,-0.801275074481964,5400,-1.05172908306122
1100,-0.913546860218048,-0.797998607158661,-0.798773109912872,5500,-1.04437375068665
1120,-0.914478421211243,-0.801531255245209,-0.796496987342835,5600,-1.04256808757782
1140,-0.909012019634247,-0.795537173748016,-0.801111817359924,5700,-1.03906786441803
1160,-0.886388003826141,-0.790234565734863,-0.803830504417419,5800,-1.03074312210083
1180,-0.903037786483765,-0.803533852100372,-0.791781663894653,5900,-1.02315855026245
1200,-0.850915014743805,-0.796275615692139,-0.798279941082001,6000,-1.02147364616394
1220,-0.868809580802918,-0.783850848674774,-0.803288102149963,6100,-1.01497006416321
1240,-0.953070938587189,-0.784382879734039,-0.791109025478363,6200,-1.00652635097504
1260,-0.85041069984436,-0.819447815418243,-0.827089130878449,6300,-0.999751448631287
1280,-0.872563779354095,-0.841417014598846,-0.777819037437439,6400,-0.991129219532013
1300,-0.859917461872101,-0.789132416248322,-0.810223877429962,6500,-0.985706210136414
1320,-0.898789882659912,-0.78982138633728,-0.827431976795197,6600,-0.97783887386322
1340,-0.864892899990082,-0.801665365695953,-0.843590795993805,6700,-0.973677575588226
1360,-0.848343729972839,-0.807619631290436,-0.796536028385162,6800,-0.968613386154175
1380,-0.903798341751099,-0.783718645572662,-0.842829585075378,6900,-0.958769917488098
1400,-0.848646640777588,-0.830463469028473,-0.814188301563263,7000,-0.958541810512543
1420,-0.864558100700378,-0.813233137130737,-0.817094624042511,7100,-0.9524787068367
1440,-0.827692210674286,-0.795577943325043,-0.8287433385849,7200,-0.944852888584137
1460,-0.92589795589447,-0.810121715068817,-0.790737569332123,7300,-0.943995773792267
1480,-0.877217948436737,-0.818675696849823,-0.785561919212341,7400,-0.937300682067871
1500,-0.884200215339661,-0.802089333534241,-0.800525367259979,7500,-0.943290531635284
1520,-0.851547122001648,-0.799435973167419,-0.833696305751801,7600,-0.932729005813599
1540,-0.875248193740845,-0.790690004825592,-0.78039288520813,7700,-0.934667468070984
1560,-0.882098615169525,-0.816159605979919,-0.791260719299316,7800,-0.930515706539154
1580,-0.879191219806671,-0.804480135440826,-0.856000185012817,7900,-0.93578428030014
1600,-0.888225257396698,-0.813056886196137,-0.815382838249207,8000,-0.926189064979553
1620,-0.890934109687805,-0.815515875816345,-0.863552391529083,8100,-0.930041968822479
1640,-0.873841166496277,-0.810002386569977,-0.800358414649963,8200,-0.923229813575745
1660,-0.850435853004456,-0.804965257644653,-0.807377219200134,8300,-0.925719916820526
1680,-0.937408864498138,-0.800227522850037,-0.833402812480927,8400,-0.925447165966034
1700,-0.895157635211945,-0.802871108055115,-0.804680168628693,8500,-0.920828700065613
1720,-0.842634260654449,-0.811983585357666,-0.815028011798859,8600,-0.926141738891602
1740,-0.862024188041687,-0.811110258102417,-0.820524156093597,8700,-0.923139810562134
1760,-0.927726805210114,-0.815014660358429,-0.83291083574295,8800,-0.915527999401093
1780,-0.92251193523407,-0.823525309562683,-0.809965550899506,8900,-0.911748349666595
1800,-0.91895192861557,-0.844516217708588,-0.80244106054306,9000,-0.912431538105011
1820,-0.992436528205872,-0.835685729980469,-0.822325766086578,9100,-0.913597166538239
1840,-1.00077271461487,-0.824724435806274,-0.801656603813171,9200,-0.910385429859161
1860,-0.885676860809326,-0.831804752349854,-0.790744364261627,9300,-0.911178767681122
1880,-0.896931946277618,-0.877452313899994,-0.83596807718277,9400,-0.911556422710419
1900,-0.862408041954041,-0.812861144542694,-0.802832543849945,9500,-0.914200186729431
1920,-0.905098855495453,-0.814287424087524,-0.866032361984253,9600,-0.908647298812866
1940,-0.891179203987122,-0.836056470870972,-0.838254392147064,9700,-0.903199076652527
1960,-1.00095641613007,-0.828291475772858,-0.828707456588745,9800,-0.901547908782959
1980,-1.0390830039978,-0.821953773498535,-0.82673841714859,9900,-0.905122578144074
2000,-0.879338443279266,-0.840504050254822,-0.858816266059876,10000,-0.899155020713806
,,,,10100,-0.901025056838989
,,,,10200,-0.899495303630829
,,,,10300,-0.898674309253693
,,,,10400,-0.893079578876495
,,,,10500,-0.885870277881622
,,,,10600,-0.892524361610413
,,,,10700,-0.896993160247803
,,,,10800,-0.894845545291901
,,,,10900,-0.888574957847595
,,,,11000,-0.887840390205383
,,,,11100,-0.889422833919525
,,,,11200,-0.886891543865204
,,,,11300,-0.885781824588776
,,,,11400,-0.882449388504028
,,,,11500,-0.883494794368744
,,,,11600,-0.878036797046661
,,,,11700,-0.874436020851135
,,,,11800,-0.870607495307922
,,,,11900,-0.875495612621307
,,,,12000,-0.872453033924103
,,,,12100,-0.871976792812347
,,,,12200,-0.873290121555328
,,,,12300,-0.862610757350922
,,,,12400,-0.866907238960266
,,,,12500,-0.868554174900055
,,,,12600,-0.864467918872833
,,,,12700,-0.860402822494507
,,,,12800,-0.864137470722199
,,,,12900,-0.859276473522186
,,,,13000,-0.861659407615662
,,,,13100,-0.858512878417969
,,,,13200,-0.846502125263214
,,,,13300,-0.85590398311615
,,,,13400,-0.856646955013275
,,,,13500,-0.8454949259758
,,,,13600,-0.847355008125305
,,,,13700,-0.855181455612183
,,,,13800,-0.84181672334671
,,,,13900,-0.833779692649841
,,,,14000,-0.844632804393768
,,,,14100,-0.836642742156982
,,,,14200,-0.832601726055145
,,,,14300,-0.836378276348114
,,,,14400,-0.826342701911926
,,,,14500,-0.828147649765015
,,,,14600,-0.832502901554108
,,,,14700,-0.829550921916962
,,,,14800,-0.829720616340637
,,,,14900,-0.828647315502167
