,discriminator,generator,fooling,wasserstein distance
0,0.16982474752834864,-0.4204123339482716,0.6022111466952733,0.79285765
1,-0.19911262137549265,-1.0214934366089956,0.731902573789869,0.6452958
2,-0.07031872272491455,-0.9376452735492161,0.7133933986936297,0.54746187
3,0.036914959975651335,-0.8796743052346366,0.7042570148195539,0.5021148
4,0.0034797974995204382,-0.9136557391711644,0.7130550878388541,0.45242992
5,-0.1544033714703151,-0.9857786740575518,0.7246249147823879,0.43093562
6,0.0034822617258344376,-0.9212475384984697,0.7112502762249537,0.4721026
7,-0.010369174821036203,-0.9701234647205897,0.7237276571137564,0.3325191
8,-0.053334540980202814,-0.9547002758298602,0.7196740865707397,0.33068016
9,-0.1237162777355739,-0.973430325303759,0.7228180663926261,0.3812629
10,-0.1844239388193403,-0.9388048802103315,0.7113869156156267,0.2962073
11,-0.2108359490122114,-0.8971023985317775,0.7000023824828011,0.297471
12,-0.24234673636300222,-0.8676132116998945,0.691510500226702,0.28404912
13,-0.26490594829831804,-0.8553128225462777,0.6879051310675485,0.3193725
14,-0.26927871193204606,-0.8299521923065185,0.681572881766728,0.29461932
15,-0.2720771108354841,-0.8074046322277614,0.6757824216570173,0.30699673
16,-0.2689786468233381,-0.7952850222587585,0.6739425914628165,0.33435035
17,-0.2647267937660217,-0.8127215998513359,0.6765315362385341,0.25635654
18,-0.22281677212033954,-0.8040579165731158,0.6759713496480669,0.2638137
19,-0.12262734004429408,-0.851206282206944,0.6897487929889135,0.289993
20,0.014882728031703403,-0.9501724243164062,0.7171172533716474,0.2623529
21,0.019546135834285192,-0.9835746833256312,0.7268374477113996,0.2768778
22,0.0038436974797930036,-0.9901034440313067,0.7283991013254438,0.2944355
23,-0.004610601493290492,-0.9906893168176923,0.7286973544529506,0.25932226
24,-0.023038210187639508,-0.9934511354991368,0.7291984745434352,0.25947547
25,-0.04293210676738194,-0.9878706898008074,0.7276621954781669,0.36261165
26,-0.05309629780905587,-0.9746103286743164,0.7245739000184196,0.26317447
27,-0.048388418129512244,-0.9789785146713257,0.7249461821147374,0.2689056
28,-0.06107051542827061,-0.9750692674091884,0.7236742036683219,0.25966373
29,-0.07833550146647862,-0.9638137817382812,0.720329145022801,0.2720112
30,-0.09477768114634923,-0.9485156536102295,0.7167734163148063,0.28215447
31,-0.1033597639628819,-0.9453703658921379,0.7155840839658465,0.3151231
32,-0.11303251130240304,-0.9366476374013083,0.7128810320581709,0.27915183
33,-0.1239791887147086,-0.9256643533706665,0.7106637494904654,0.26567802
34,-0.13104639904839652,-0.9211612922804696,0.7089356507573809,0.28081724
35,-0.13355523007256645,-0.9068097250802176,0.7048877341406686,0.28769892
36,-0.1394669839314052,-0.8857803549085345,0.7005910805293492,0.25169837
37,-0.1507955346788679,-0.910447985785348,0.7049961004938398,0.2548628
38,-0.14685735532215663,-0.8764107414654323,0.6974019885063172,0.26235864
39,-0.1493004083633423,-0.8856271028518676,0.699053248337337,0.2675255
40,-0.167860974584307,-0.8817001819610596,0.697756552696228,0.26072848
41,-0.15048968621662684,-0.8436654431479318,0.6892775620732988,0.33975345
42,-0.176349675655365,-0.870458003452846,0.6951942546027047,0.27873677
43,-0.17808486563818796,-0.8707532831600734,0.6943631223269872,0.25628152
44,-0.17540487732206073,-0.86852508357593,0.6941184929438999,0.2671715
45,-0.1824392182486398,-0.8515312603541783,0.6899846707071576,0.27509132
46,-0.1723568320274353,-0.855434764283044,0.6904551199504307,0.29829824
47,-0.18874448367527552,-0.8604100295475551,0.6920953631401062,0.47904792
48,-0.17064852884837559,-0.843706374508994,0.6882139836038862,0.27831447
49,-0.17762917620795113,-0.8588024360792977,0.6904363257544381,0.28457594
50,-0.18245283194950648,-0.8390656743730818,0.6872596774782453,0.4768767
