,discriminator,generator,fooling,wasserstein distance
0,-0.006175337980190913,-0.045867766357130475,0.5114646355311075,6.486586
1,-0.04998344203664197,-0.014804241829551756,0.5037003888024224,4.4399185
2,-0.13688443476955095,0.006094712800404523,0.4984620345963372,2.5530345
3,-0.21626937554942238,0.002993893900161816,0.4984542379776637,2.047767
4,0.04916739650070667,0.06559176080756718,0.4826861619949341,1.3586938
5,-0.03971807989809248,0.22436286674605477,0.44418757988346946,0.7811692
6,-0.058439533743593425,0.22289178437656826,0.44458506173557705,0.522704
7,-0.05701737085150348,0.1286442453145153,0.46711260742611355,0.6054206
8,0.15291187581088808,0.000887902970943186,0.49819690154658425,0.40303627
9,-0.024011832144525316,0.15311056127150854,0.4619468119409349,0.3201711
10,-0.045043414251671895,0.17218858748674393,0.4574137098259396,0.31458506
11,-0.019959035846922133,0.1261686123907566,0.4687573280599382,0.22975713
12,0.006497752749257618,0.08128966391086578,0.4798026929299037,0.20743717
13,0.013107467132310072,0.043888961896300316,0.4890575210253398,0.20230976
14,0.005981081320593755,0.02278188445294897,0.49431173503398895,0.23186445
15,-0.04975081183430222,0.010391315018447736,0.49737567371792263,0.23519456
16,-0.03297970837189092,-0.058491285528159805,0.5133719046910604,0.17687836
17,-0.043884466091791786,0.10245391938628422,0.47437890039549935,0.28582838
18,-0.09046785885261165,0.12034305102295345,0.4700291355450948,0.20824593
19,-0.015513773852338394,0.051596604365234576,0.4861718946033054,0.3580479
20,-0.03488687798380852,0.1340616527530882,0.46698364118735,0.19132675
21,-0.017121303412649367,0.08363203787141377,0.47933634453349644,0.2716204
22,-0.052058941684663296,0.02561396775126923,0.49311808082792496,0.308454
23,-0.08918550051748753,0.08974060020409524,0.47735250492890674,0.2135302
24,-0.18166693879498375,0.09827982085860437,0.4752158373594284,0.16769503
25,-0.06031858496781853,0.0951992188864905,0.47441885206434464,0.18773024
26,-0.07045640423893929,0.15410134982731608,0.46289776431189644,0.21957281
27,-0.12233076306680839,0.09471463163693745,0.47568075193299186,0.18390997
28,-0.1807688313225905,0.11549252144888872,0.4707004576921463,0.20910528
29,-0.07775786250001854,0.16182015049788687,0.45932918621434105,0.17386189
30,-0.18348125823669964,0.2300651835070716,0.44644621511300403,0.17401762
31,-0.1683355557421843,0.15978345254229176,0.45832447707653046,0.19834319
32,-0.10911333312590916,0.24801214867168003,0.44279751512739396,0.21407756
33,-0.21087823270095718,0.17046187072992325,0.45926842590173084,0.2277164
34,-0.27762462778223884,0.1944964842663871,0.45309102204110885,0.21744925
35,-0.197483339243465,0.2791002645260758,0.4352036731110679,0.29872128
36,-0.2985729972521464,0.28141623238722485,0.43550751937760246,0.17899035
37,-0.28214582800865173,0.3195993627111117,0.4298191765944163,0.22622144
38,-0.36474141975243884,0.2424459372026225,0.4468442135386997,0.18207759
39,-0.3600665372278955,0.24140889156195852,0.4469103631046083,0.18584414
40,-0.40776802351077396,0.24975179177191523,0.4474542902575599,0.16196589
41,-0.43327970637215507,0.22925646851460138,0.4529688358306885,0.19319828
42,-0.47029420402314925,0.18629765075941881,0.4607641299565633,0.18801402
43,-0.4498411516348521,0.1410933064503802,0.47019025186697644,0.18870454
44,-0.4527260810136795,0.10956947826262978,0.4747244003746245,0.1666938
45,-0.43378929793834686,0.12036596153241892,0.47446253564622665,0.1928478
46,-0.3894961128632228,0.05521974071032471,0.4835658172766368,0.18298097
47,-0.36594851811726886,0.06469522887426946,0.48304396371046704,0.23404406
48,-0.3461107479201423,0.051975436612135835,0.4861479037337833,0.18934228
49,-0.3612993425793118,0.04197826352901757,0.48714038564099205,0.20811008
