epoch,cgan,klcgan,pearson,rklcgan,epoch,wcgan
,,,,,3160,0.46816522
,,,,,3180,0.45429853
,,,,,3200,0.54651564
,,,,,3220,0.4977601
,,,,,3240,0.470639
,,,,,3260,0.5013932
,,,,,3280,0.5436753
,,,,,3300,0.44776616
,,,,,3320,0.41509354
,,,,,3340,0.5086278
,,,,,3360,0.6049698
,,,,,3380,0.50837696
,,,,,3400,0.47054005
,,,,,3420,0.44115186
,,,,,3440,0.46608752
,,,,,3460,0.4964508
,,,,,3480,0.45131028
,,,,,3500,0.46999264
,,,,,3520,0.42731896
,,,,,3540,0.48466855
,,,,,3560,0.4126061
,,,,,3580,0.54379714
,,,,,3600,0.4323696
,,,,,3620,0.4424354
,,,,,3640,0.46623138
,,,,,3660,0.41216835
,,,,,3680,0.42662942
,,,,,3700,0.4509106
,,,,,3720,0.43099222
,,,,,3740,0.535119
,,,,,3760,0.47516376
,,,,,3780,0.4198329
,,,,,3800,0.5423989
,,,,,3820,0.417088
,,,,,3840,0.44595566
,,,,,3860,0.49021068
,,,,,3880,0.44393376
,,,,,3900,0.53737545
,,,,,3920,0.49712822
,,,,,3940,0.55974185
,,,,,3960,0.39973202
,,,,,3980,0.46807462
,,,,,4000,0.47579384
