,epoch,discriminator,wasserstein distance,generator
0,20,0.04977135360240936,4.96171,-0.04248550534248352
1,40,0.049269068986177444,5.009379,-0.03986751660704613
2,60,0.04812583699822426,5.06509,-0.036627620458602905
3,80,0.04664049297571182,5.1469436,-0.032920680940151215
4,100,0.043602362275123596,5.24689,-0.02849492058157921
5,120,0.038749486207962036,5.4084773,-0.023549692705273628
6,140,0.034274302423000336,5.707277,-0.01744735613465309
7,160,0.02589607797563076,6.0808825,-0.011095428839325905
8,180,0.01358821615576744,6.560599,-0.002896286314353347
9,200,-0.002980440855026245,6.682094,0.006391213741153479
10,220,-0.022060316056013107,6.438337,0.017071252688765526
11,240,-0.041442278772592545,5.976043,0.03259183093905449
12,260,-0.07441869378089905,5.798449,0.04994368553161621
13,280,-0.09155866503715515,5.339609,0.07042879611253738
14,300,-0.15711915493011475,5.057218,0.09136343002319336
15,320,-0.17974324524402618,4.7647514,0.11293229460716248
16,340,-0.21601390838623047,4.489169,0.13708272576332092
17,360,-0.2906777560710907,4.4023094,0.17002496123313904
18,380,-0.3028879165649414,4.356422,0.19457919895648956
19,400,-0.3783820867538452,4.108036,0.2362087219953537
20,420,-0.4302425980567932,4.141011,0.2808988392353058
21,440,-0.5265259742736816,4.008754,0.3374250531196594
22,460,-0.6181476712226868,3.9978561,0.41346192359924316
23,480,-0.7313889265060425,3.9482849,0.44045937061309814
24,500,-0.8187548518180847,3.7852805,0.5621232390403748
25,520,-0.9168514013290405,3.7089865,0.6842777729034424
26,540,-1.0859761238098145,3.7265465,0.8171356916427612
27,560,-1.3358216285705566,3.5842144,0.9331509470939636
28,580,-1.396916151046753,3.696712,1.1356112957000732
29,600,-1.4913686513900757,3.5173216,1.3889251947402954
30,620,-1.755471110343933,3.5973094,1.643439769744873
31,640,-1.6809381246566772,3.4215658,1.8853175640106201
32,660,-2.283003807067871,3.5945616,2.2831830978393555
33,680,-2.5483500957489014,3.4106739,2.646787405014038
34,700,-2.647826910018921,3.3952186,3.0871622562408447
35,720,-2.5387940406799316,3.443869,3.6290829181671143
36,740,-2.60001802444458,3.3118002,4.267318248748779
37,760,-3.4658145904541016,3.1783087,4.894733428955078
38,780,-2.850633382797241,3.1340039,5.705455303192139
39,800,-3.170819044113159,2.9973123,6.2310261726379395
40,820,-3.267889976501465,3.1215734,6.696332931518555
41,840,-3.717207908630371,3.0503082,6.935146331787109
42,860,-2.963906764984131,2.8576221,7.122293472290039
43,880,-3.3247432708740234,2.7296913,7.0447797775268555
44,900,-3.398134231567383,2.76969,6.892786026000977
45,920,-2.7117645740509033,2.6318395,6.468773365020752
46,940,-3.782607316970825,2.5824478,6.165227890014648
47,960,-3.8338935375213623,2.5608861,5.773698329925537
48,980,-3.7351558208465576,2.4217772,5.566320419311523
49,1000,-3.9342477321624756,2.3029385,4.920905590057373
50,1020,-3.558505058288574,2.137607,4.469149112701416
51,1040,-3.139756441116333,2.073188,3.7685601711273193
52,1060,-3.8770503997802734,1.9928108,2.9821596145629883
53,1080,-3.6962738037109375,1.8249534,2.529370069503784
54,1100,-3.389390707015991,1.7035995,1.135229229927063
55,1120,-4.336885452270508,1.6433156,1.0233954191207886
56,1140,-3.43757963180542,1.6466203,0.39459505677223206
57,1160,-4.038064479827881,1.5004082,-0.28081536293029785
58,1180,-3.6642682552337646,1.4218904,-1.1409387588500977
59,1200,-3.51033616065979,1.3262535,-2.4485738277435303
