,epoch,train,validation
0,20,-1.539951205253601,-1.4860693216323853
1,40,-1.5238007307052612,-1.4735294580459595
2,60,-1.506234049797058,-1.460996150970459
3,80,-1.4916372299194336,-1.4473265409469604
4,100,-1.4696613550186157,-1.4316750764846802
5,120,-1.4484905004501343,-1.4100934267044067
6,140,-1.4264625310897827,-1.3934487104415894
7,160,-1.4081963300704956,-1.3842805624008179
8,180,-1.4055830240249634,-1.384063482284546
9,200,-1.4012409448623657,-1.3786699771881104
10,220,-1.3799306154251099,-1.3601454496383667
11,240,-1.3676276206970215,-1.343442440032959
12,260,-1.3533796072006226,-1.3290910720825195
13,280,-1.337910771369934,-1.313400387763977
14,300,-1.3270970582962036,-1.2985347509384155
15,320,-1.3079982995986938,-1.2841334342956543
16,340,-1.2973495721817017,-1.2677838802337646
17,360,-1.2936326265335083,-1.274080753326416
18,380,-1.2843620777130127,-1.2682523727416992
19,400,-1.285264492034912,-1.2541415691375732
20,420,-1.2760728597640991,-1.2548372745513916
21,440,-1.2731294631958008,-1.2580244541168213
22,460,-1.2709877490997314,-1.244855523109436
23,480,-1.271081805229187,-1.2379631996154785
24,500,-1.2583590745925903,-1.229215383529663
25,520,-1.2487163543701172,-1.2152044773101807
26,540,-1.2421125173568726,-1.2274718284606934
27,560,-1.2486861944198608,-1.212990403175354
28,580,-1.2356517314910889,-1.2058814764022827
29,600,-1.2174941301345825,-1.2065869569778442
30,620,-1.2173420190811157,-1.199407935142517
31,640,-1.2223587036132812,-1.1747945547103882
32,660,-1.216655969619751,-1.1693556308746338
33,680,-1.2117071151733398,-1.1743603944778442
34,700,-1.1931700706481934,-1.1552180051803589
35,720,-1.1887961626052856,-1.1481927633285522
36,740,-1.1773017644882202,-1.1367658376693726
37,760,-1.164052128791809,-1.119358777999878
38,780,-1.1559550762176514,-1.1133663654327393
39,800,-1.1524059772491455,-1.1110118627548218
40,820,-1.135856032371521,-1.1062885522842407
41,840,-1.1086969375610352,-1.0857409238815308
42,860,-1.109289288520813,-1.095668077468872
43,880,-1.09229576587677,-1.050227403640747
44,900,-1.0980677604675293,-1.0329653024673462
45,920,-1.0822175741195679,-1.0418217182159424
46,940,-1.0597645044326782,-1.0176934003829956
47,960,-1.0586673021316528,-0.9979720711708069
48,980,-1.0038243532180786,-0.9669947624206543
49,1000,-1.0184556245803833,-0.9740042090415955
50,1020,-1.0056040287017822,-0.9663112163543701
51,1040,-0.9988539814949036,-0.9436762928962708
52,1060,-0.9956778883934021,-0.9352820515632629
53,1080,-0.978886067867279,-0.8911129832267761
54,1100,-0.9711989164352417,-0.9023475646972656
55,1120,-0.9419293403625488,-0.8746083378791809
56,1140,-0.946219801902771,-0.8848323822021484
57,1160,-0.9555190205574036,-0.8871108293533325
58,1180,-0.9252459406852722,-0.8584059476852417
59,1200,-0.9452990889549255,-0.8571692109107971
60,1220,-0.9406611323356628,-0.8625029921531677
61,1240,-0.9144346714019775,-0.8433798551559448
62,1260,-0.9238617420196533,-0.8558478951454163
63,1280,-0.9235657453536987,-0.845659613609314
64,1300,-0.905256986618042,-0.8632513880729675
65,1320,-0.9310823678970337,-0.8483582139015198
66,1340,-0.8859916925430298,-0.833647608757019
67,1360,-0.9148803949356079,-0.8019437789916992
68,1380,-0.8906117081642151,-0.808828592300415
69,1400,-0.8610102534294128,-0.778838038444519
70,1420,-0.9175540208816528,-0.8118513226509094
71,1440,-0.9320999383926392,-0.8188657164573669
72,1460,-0.8843733668327332,-0.8024701476097107
73,1480,-0.9035429954528809,-0.7761396765708923
74,1500,-0.9245330691337585,-0.7901188135147095
75,1520,-0.8722001910209656,-0.8136675357818604
76,1540,-0.9111209511756897,-0.8118898272514343
77,1560,-0.903593122959137,-0.8262473940849304
78,1580,-0.9106042385101318,-0.7946984171867371
79,1600,-0.8779011368751526,-0.7923418879508972
80,1620,-0.9259490370750427,-0.7949230074882507
81,1640,-0.8634347319602966,-0.7851263284683228
82,1660,-0.9004589915275574,-0.8302021622657776
83,1680,-0.8951854705810547,-0.8275716304779053
84,1700,-0.8884640336036682,-0.814474880695343
85,1720,-0.8987118601799011,-0.7809886336326599
86,1740,-0.8940637111663818,-0.7816939353942871
87,1760,-0.8595436215400696,-0.8163933753967285
88,1780,-0.8809646964073181,-0.7795255780220032
89,1800,-0.8752685785293579,-0.7962595820426941
90,1820,-0.866794764995575,-0.7762848138809204
91,1840,-0.9021458625793457,-0.8108357787132263
92,1860,-0.9024821519851685,-0.7862281799316406
93,1880,-0.900381326675415,-0.783191978931427
94,1900,-0.9001307487487793,-0.7887903451919556
95,1920,-0.8809176683425903,-0.7960494756698608
96,1940,-0.8261043429374695,-0.7701729536056519
97,1960,-0.8892920017242432,-0.7852616310119629
98,1980,-0.8840732574462891,-0.7575321197509766
99,2000,-0.8563126921653748,-0.7822045683860779
100,2020,-0.8528014421463013,-0.8001046776771545
101,2040,-0.8749314546585083,-0.7626426815986633
102,2060,-0.8897693753242493,-0.7967722415924072
103,2080,-0.9015741348266602,-0.7858198881149292
104,2100,-0.8629329204559326,-0.785006046295166
105,2120,-0.8913015723228455,-0.8250619173049927
106,2140,-0.8520740270614624,-0.7808973789215088
107,2160,-0.8730754256248474,-0.7913519740104675
108,2180,-0.8747984170913696,-0.7593918442726135
109,2200,-0.8472162485122681,-0.7705761790275574
110,2220,-0.8656647205352783,-0.7820438742637634
111,2240,-0.8443164229393005,-0.7642197012901306
112,2260,-0.8629337549209595,-0.7686280012130737
113,2280,-0.893655002117157,-0.8215131163597107
114,2300,-0.8725940585136414,-0.7706694602966309
115,2320,-0.8905144929885864,-0.7998653054237366
116,2340,-0.8443160653114319,-0.7921741604804993
117,2360,-0.8603842854499817,-0.7763558030128479
118,2380,-0.8870279788970947,-0.7879010438919067
119,2400,-0.8681681156158447,-0.8188902735710144
120,2420,-0.8497651219367981,-0.8001116514205933
121,2440,-0.8557367920875549,-0.7691759467124939
122,2460,-0.8900554776191711,-0.8029580116271973
123,2480,-0.8443156480789185,-0.782723605632782
124,2500,-0.8992128372192383,-0.8171862959861755
125,2520,-0.8339794874191284,-0.7790182828903198
126,2540,-0.8332157135009766,-0.7845149636268616
127,2560,-0.8550530076026917,-0.763022243976593
128,2580,-0.8517102599143982,-0.7633304595947266
129,2600,-0.8427444696426392,-0.7753713130950928
130,2620,-0.8443061709403992,-0.7866888046264648
131,2640,-0.8764863014221191,-0.7689652442932129
132,2660,-0.8746086955070496,-0.7773669958114624
133,2680,-0.8589303493499756,-0.8007182478904724
134,2700,-0.8718649744987488,-0.7791322469711304
135,2720,-0.8441147208213806,-0.7960737347602844
136,2740,-0.8845452666282654,-0.7942719459533691
137,2760,-0.864975094795227,-0.8251593708992004
138,2780,-0.8590320348739624,-0.7979820966720581
139,2800,-0.8715831637382507,-0.7541227340698242
140,2820,-0.8738346099853516,-0.7985367178916931
141,2840,-0.8363668322563171,-0.7645084857940674
142,2860,-0.8527377247810364,-0.7904884219169617
143,2880,-0.8740201592445374,-0.7973634600639343
144,2900,-0.8490457534790039,-0.7879106402397156
145,2920,-0.9028158187866211,-0.7746440172195435
146,2940,-0.8605865836143494,-0.7894948720932007
147,2960,-0.8415557742118835,-0.7515603303909302
148,2980,-0.8581324815750122,-0.7678159475326538
149,3000,-0.8505632877349854,-0.8048486113548279
150,3020,-0.8788801431655884,-0.7796374559402466
151,3040,-0.8497051000595093,-0.7817835211753845
152,3060,-0.8653627634048462,-0.8046894669532776
153,3080,-0.8692261576652527,-0.8147178292274475
154,3100,-0.8654380440711975,-0.7778608202934265
155,3120,-0.7988453507423401,-0.7718944549560547
156,3140,-0.8737779855728149,-0.7886000871658325
157,3160,-0.8537666201591492,-0.8132666945457458
158,3180,-0.8749046325683594,-0.7894834280014038
159,3200,-0.8250715136528015,-0.7468831539154053
160,3220,-0.8728042244911194,-0.7983100414276123
161,3240,-0.8652735352516174,-0.7805461287498474
162,3260,-0.8594070672988892,-0.7614345550537109
163,3280,-0.8635396957397461,-0.783917248249054
164,3300,-0.8770960569381714,-0.7858240604400635
165,3320,-0.8752433061599731,-0.7556168437004089
166,3340,-0.8670234084129333,-0.8118595480918884
167,3360,-0.8828976154327393,-0.8185500502586365
168,3380,-0.8392857909202576,-0.7620547413825989
169,3400,-0.8592258095741272,-0.7511078119277954
170,3420,-0.822182297706604,-0.7540701627731323
171,3440,-0.8869806528091431,-0.8279904723167419
172,3460,-0.8325667977333069,-0.7324060797691345
173,3480,-0.8524807095527649,-0.7667583227157593
174,3500,-0.8490288257598877,-0.7664012312889099
175,3520,-0.8527640700340271,-0.7633081674575806
176,3540,-0.8643015027046204,-0.7695401906967163
177,3560,-0.8248041868209839,-0.8025670051574707
178,3580,-0.8866705894470215,-0.7900617122650146
179,3600,-0.8374267816543579,-0.7470413446426392
180,3620,-0.8136404752731323,-0.7775015234947205
181,3640,-0.8672822117805481,-0.7567238211631775
182,3660,-0.8193591833114624,-0.7670682668685913
183,3680,-0.8503360152244568,-0.7920004725456238
184,3700,-0.8439609408378601,-0.7797881960868835
185,3720,-0.877407968044281,-0.7768291234970093
186,3740,-0.8577682971954346,-0.7863796949386597
187,3760,-0.8725853562355042,-0.7828353047370911
188,3780,-0.8226621747016907,-0.7807571887969971
189,3800,-0.8657936453819275,-0.7595901489257812
190,3820,-0.8815423250198364,-0.7703425884246826
191,3840,-0.8218221068382263,-0.8070745468139648
192,3860,-0.8600209951400757,-0.7995091676712036
193,3880,-0.8356387615203857,-0.7678098678588867
194,3900,-0.8416053652763367,-0.816417396068573
195,3920,-0.8441964387893677,-0.7972893714904785
196,3940,-0.8585504293441772,-0.7835717797279358
197,3960,-0.847837507724762,-0.7813185453414917
198,3980,-0.8454213738441467,-0.7705450057983398
199,4000,-0.8543640971183777,-0.7854084372520447
