epoch,cgan,klcgan,pearson,rklcgan,epoch,wcgan
20,1.9157795,1.5859194,2.670993,1.4873825,100,1.61475
40,1.3062454,1.4484961,1.4934044,1.0390661,200,1.5691713
60,0.80750227,0.76175725,0.7013744,0.9457471,300,1.5159545
80,0.82408035,0.7567781,0.82205933,0.78342897,400,1.4449593
100,0.77173746,0.7165725,0.8216727,0.67393184,500,1.3518022
120,0.68217117,0.6910785,0.77821213,0.65910643,600,1.2408996
140,0.6419108,0.62462777,0.6372762,0.64865774,700,1.1404147
160,0.6292169,0.5921635,0.5933931,0.61792463,800,1.1081196
180,0.6345962,0.59228414,0.59750044,0.5784923,900,1.1717831
200,0.6184983,0.6082718,0.6187716,0.5738253,1000,1.2158875
220,0.5517944,0.5939014,0.6245454,0.59716105,1100,1.0968628
240,0.6033448,0.58471656,0.639981,0.6153583,1200,0.94731355
260,0.50437546,0.54814583,0.6903119,0.6609616,1300,0.8191712
280,0.5121519,0.55012,0.6102132,0.67073035,1400,0.7292378
300,0.5362473,0.47062838,0.61788744,0.67725134,1500,0.662511
320,0.474614,0.4602062,0.59955025,0.68311536,1600,0.6489946
340,0.4570404,0.44190192,0.57842493,0.6715628,1700,0.66045225
360,0.4445055,0.42362025,0.56037486,0.6703327,1800,0.65570647
380,0.43940285,0.41727844,0.5553414,0.6881943,1900,0.6483858
400,0.3960086,0.40699813,0.55706996,0.6576273,2000,0.63372934
420,0.3864566,0.3711496,0.54036164,0.6291573,2100,0.625102
440,0.35845467,0.36089957,0.5641072,0.6285471,2200,0.62047064
460,0.3386449,0.35219574,0.51312697,0.62960684,2300,0.60422915
480,0.33305463,0.3461652,0.51569957,0.66061896,2400,0.60326254
500,0.32599235,0.34500182,0.46904698,0.628783,2500,0.6001635
520,0.32874826,0.34606883,0.4485252,0.57863986,2600,0.5981141
540,0.32923466,0.32464436,0.4163839,0.6448579,2700,0.589778
560,0.32408774,0.33489835,0.39647958,0.5849994,2800,0.59227693
580,0.32698658,0.32739457,0.37227795,0.593431,2900,0.58368003
600,0.3396877,0.31183732,0.3709465,0.5772025,3000,0.5750288
620,0.35236603,0.30609876,0.34100795,0.5527327,3100,0.5660455
640,0.3416887,0.3150358,0.33001202,0.5752804,3200,0.5622934
660,0.3512838,0.31289044,0.33051667,0.68762314,3300,0.56333137
680,0.36037627,0.3091203,0.32452407,0.6185001,3400,0.55979794
700,0.34809995,0.30674484,0.31367496,0.6157423,3500,0.55116117
720,0.36395875,0.31719562,0.31205118,0.6038169,3600,0.55012137
740,0.35674155,0.32809648,0.30141953,0.66496336,3700,0.5565043
760,0.36757424,0.3400632,0.29660314,0.6206413,3800,0.5606206
780,0.35877442,0.35125482,0.29804125,0.6927831,3900,0.55832916
800,0.38683116,0.33973467,0.2929763,0.6445594,4000,0.5379347
820,0.35197586,0.3457625,0.2863532,0.6095698,4100,0.5435767
840,0.37611222,0.32705525,0.2836437,0.5978065,4200,0.5485582
860,0.37269044,0.32888383,0.29349253,0.67828506,4300,0.52937543
880,0.35372663,0.3166093,0.27015662,0.6322001,4400,0.54310054
900,0.35941958,0.31108993,0.30827418,0.696113,4500,0.5304542
920,0.3562685,0.32604733,0.27780542,0.61345726,4600,0.52655226
940,0.36010897,0.3145807,0.2801504,0.6664336,4700,0.5259543
960,0.3601907,0.29551113,0.2802023,0.7156987,4800,0.52278185
980,0.34183434,0.30047637,0.27286854,0.834172,4900,0.52440006
1000,0.33649644,0.31422615,0.26672545,0.7501079,5000,0.513469
1020,0.32247847,0.30261785,0.27726525,0.6898336,5100,0.50427645
1040,0.31943235,0.30118793,0.27000955,0.75262076,5200,0.49884647
1060,0.3170287,0.2985879,0.2863294,0.7328415,5300,0.49622956
1080,0.3202318,0.28493556,0.2662063,0.71669686,5400,0.48958823
1100,0.33519828,0.28925306,0.26229554,0.78236127,5500,0.4829441
1120,0.29829723,0.31176865,0.2692972,0.88804454,5600,0.48202932
1140,0.3030404,0.32314083,0.25476027,1.0268472,5700,0.47340566
1160,0.29101554,0.29249874,0.2532519,0.9205287,5800,0.47168598
1180,0.29721475,0.28728855,0.261388,0.9489305,5900,0.45602262
1200,0.30930367,0.2987072,0.27382538,0.85967743,6000,0.45998374
1220,0.29671195,0.3399567,0.2613883,0.8873424,6100,0.43738633
1240,0.28945416,0.29614276,0.25106484,0.9623205,6200,0.43689427
1260,0.30666542,0.2896684,0.25051033,1.0137327,6300,0.42897156
1280,0.29255697,0.28802076,0.26144332,1.0732709,6400,0.4298891
1300,0.30688086,0.29005057,0.25787726,1.0766734,6500,0.41944683
1320,0.30811045,0.29839635,0.25739333,0.9917448,6600,0.4062826
1340,0.30005193,0.2991965,0.2475375,0.9913897,6700,0.39852333
1360,0.31356674,0.33367878,0.23990673,0.98976713,6800,0.39706936
1380,0.30425617,0.2939287,0.24529217,0.9228836,6900,0.383797
1400,0.30904257,0.30443498,0.25785878,0.99501777,7000,0.37910435
1420,0.31340602,0.3070139,0.24589744,1.0602367,7100,0.37079933
1440,0.29258308,0.2989524,0.2586162,0.945661,7200,0.36943057
1460,0.32554573,0.28323382,0.2584127,0.96341467,7300,0.35873353
1480,0.30648002,0.2956835,0.23944758,1.0830929,7400,0.358119
1500,0.29636553,0.30830568,0.25040284,1.210666,7500,0.35637406
1520,0.30522767,0.3085818,0.25629395,1.0105352,7600,0.34894294
1540,0.29999116,0.3221764,0.27649063,0.91983443,7700,0.3414327
1560,0.31527805,0.29094288,0.25276366,1.0891466,7800,0.3368026
1580,0.28634733,0.31296176,0.26121995,1.033973,7900,0.33880538
1600,0.32454956,0.28983438,0.24822201,1.1094375,8000,0.3316712
1620,0.30986264,0.31084028,0.27423412,1.083733,8100,0.33184987
1640,0.30555087,0.29747838,0.2586088,1.04925,8200,0.32853875
1660,0.29330316,0.29914075,0.24718255,1.0301354,8300,0.32678112
1680,0.3025036,0.2915949,0.24507698,0.9819938,8400,0.32261804
1700,0.29105088,0.3191208,0.25132638,1.0793668,8500,0.3282621
1720,0.30433312,0.31520373,0.2781551,0.8543709,8600,0.32217485
1740,0.30434543,0.3252927,0.24482995,0.9051219,8700,0.32078898
1760,0.28343982,0.33025593,0.24231678,0.8037307,8800,0.3209968
1780,0.28912172,0.36359173,0.25324276,0.91482764,8900,0.3209042
1800,0.288934,0.2890372,0.2446578,0.9471966,9000,0.3206925
1820,0.29511574,0.31514168,0.24945904,1.122584,9100,0.3156163
1840,0.31097886,0.29529965,0.26110694,1.0308973,9200,0.31350467
1860,0.3130066,0.3066239,0.26291952,1.0566988,9300,0.309762
1880,0.28505602,0.31868577,0.24983482,1.0050249,9400,0.310298
1900,0.30244052,0.29372898,0.24729913,0.88019884,9500,0.31206483
1920,0.2892732,0.2918607,0.26786444,1.0180662,9600,0.30766717
1940,0.34046406,0.29282668,0.2868674,1.0296776,9700,0.30655465
1960,0.2974546,0.30641204,0.2506512,0.99823457,9800,0.3024482
1980,0.29141387,0.2971955,0.27073953,1.0277663,9900,0.30169383
2000,0.29256657,0.30300593,0.24107169,1.0979913,10000,0.30609477
,,,,,10100,0.2960199
,,,,,10200,0.29575032
,,,,,10300,0.29891318
,,,,,10400,0.29721603
,,,,,10500,0.29537624
,,,,,10600,0.28782433
,,,,,10700,0.29936862
,,,,,10800,0.28918764
,,,,,10900,0.29712063
,,,,,11000,0.28758645
,,,,,11100,0.29574722
,,,,,11200,0.28717694
