,discriminator,generator,fooling,wasserstein distance
0,0.4019848985331399,0.05328125784040562,0.48668829202651975,1.5859194
1,0.33166201880999974,-0.053618362466139456,0.5133959719112942,1.4484961
2,0.2668826482125691,-0.15995311715773175,0.5398819463593619,0.76175725
3,0.20471278727054595,-0.2727907640593393,0.5677220446722848,0.7567781
4,0.14626102447509765,-0.3944116864885603,0.5972269654273987,0.7165725
5,0.09563870770590646,-0.5238769088472639,0.6278309140886579,0.6910785
6,0.060180129323686875,-0.6548763172967094,0.6577287861279079,0.62462777
7,0.04163850886481149,-0.7707246473857334,0.6831509232521057,0.5921635
8,0.034544834068843296,-0.8552037392343793,0.7010201062474932,0.59228414
9,0.032478903021131246,-0.9033794675554548,0.7109935539109367,0.6082718
10,0.027208922590528217,-0.9242846846580506,0.7153075558798654,0.5939014
11,0.017018864836011616,-0.9350444265774318,0.7175344143595014,0.58471656
12,0.0008205975805010115,-0.945581351007734,0.7196702463286263,0.54814583
13,-0.01372328315462385,-0.9598270126751491,0.7225022520337786,0.55012
14,-0.021799235684531074,-0.9724735089710781,0.7249788267271859,0.47062838
15,-0.025220561027526855,-0.980592223576137,0.7265743289675032,0.4602062
16,-0.027077395575387138,-0.9887555003166199,0.7281740205628532,0.44190192
17,-0.02524923767362322,-0.9916416474751064,0.72874607528959,0.42362025
18,-0.022882192475455147,-0.9927052617073059,0.7289643066270011,0.41727844
19,-0.020364958899361747,-0.9927312510354178,0.7290140220097133,0.40699813
20,-0.01992229563849313,-0.9941531351634434,0.7293315291404724,0.3711496
21,-0.017716085910797118,-0.9946312819208417,0.7294721705572945,0.36089957
22,-0.02218418802533831,-0.9959126574652536,0.7297474588666644,0.35219574
23,-0.026932426861354282,-0.9987588456698826,0.7303335700716291,0.3461652
24,-0.031208360195159913,-0.9998707549912589,0.730566338130406,0.34500182
25,-0.03968229634421212,-1.001972268308912,0.7309453606605529,0.34606883
26,-0.044652792385646276,-1.001215887069702,0.7307477235794068,0.32464436
27,-0.05530756711959839,-1.0019591280392237,0.7308356097766331,0.33489835
28,-0.05911707537514823,-1.001816669532231,0.7306686128888812,0.32739457
29,-0.0665560177394322,-0.9981761489595685,0.7298282997948783,0.31183732
30,-0.07201648439679827,-0.997795467717307,0.7295912299837385,0.30609876
31,-0.07741356917790004,-0.9940252729824611,0.7286393404006958,0.3150358
32,-0.08550231456756592,-0.9945326975413731,0.7284558875220163,0.31289044
33,-0.09851129736219133,-1.0001444935798645,0.7293506043297904,0.3091203
34,-0.10475752694266183,-0.9935153773852757,0.7277517148426601,0.30674484
35,-0.10784099442618233,-0.9873601930482047,0.7261834042412895,0.31719562
36,-0.12241028206689017,-0.9893588066101074,0.7261786937713623,0.32809648
37,-0.13371539115905762,-0.9845225708825248,0.724885060106005,0.3400632
38,-0.13775099515914918,-0.9827418208122254,0.7242041775158473,0.35125482
39,-0.13716740778514316,-0.966633301121848,0.7205770305224828,0.33973467
40,-0.1552031193460737,-0.9731878757476806,0.7214032990591867,0.3457625
41,-0.1476717438016619,-0.9604746971811567,0.7182739274842399,0.32705525
42,-0.15695494413375854,-0.9547734635216849,0.7166948182242258,0.32888383
43,-0.15999887330191476,-0.9428235156195505,0.7136440345219204,0.3166093
44,-0.16311393295015608,-0.9345462134906224,0.7116317868232727,0.31108993
45,-0.16616957698549542,-0.9381726724760873,0.7114708627973284,0.32604733
46,-0.17065191609518868,-0.9368669373648507,0.7108241081237793,0.3145807
47,-0.15248966387340002,-0.9149062003408159,0.7061305625098092,0.29551113
48,-0.1629677517073495,-0.9074326583317348,0.7044711674962725,0.30047637
49,-0.14470533302852084,-0.9104314633778163,0.7049070392336164,0.31422615
50,-0.14218724284853254,-0.9070010593959263,0.7038394297872271,0.30261785
51,-0.13523601123264858,-0.9054308686937604,0.7034037555967059,0.30118793
52,-0.12263450792857579,-0.9000018749918256,0.7026563269751412,0.2985879
53,-0.11700866562979562,-0.914709780897413,0.7057166763714382,0.28493556
54,-0.09577320643833705,-0.9056889278548105,0.7039799111230033,0.28925306
55,-0.09377466440200806,-0.9130223512649536,0.7058723620006017,0.31176865
56,-0.06620510475976127,-0.9008322375161307,0.7037790877478464,0.32314083
57,-0.05798945767538888,-0.9052198307854789,0.70507390328816,0.29249874
58,-0.048800299848829,-0.9237809249332973,0.7095204779079982,0.28728855
59,-0.038161907877240865,-0.9269796967506408,0.7106391770499093,0.2987072
60,-0.029507810728890554,-0.9402547223227364,0.7139251027788435,0.3399567
61,-0.016844051224844798,-0.9414287839617048,0.7147047196115767,0.29614276
