,epoch,discriminator,wasserstein distance,generator
0,100,0.011222482658922672,1.61475,-0.08956031501293182
1,200,0.010324534960091114,1.5691713,-0.09044189751148224
2,300,0.008631295524537563,1.5159545,-0.09038601815700531
3,400,0.008157865144312382,1.4449593,-0.09111365675926208
4,500,0.0050360700115561485,1.3518022,-0.09053656458854675
5,600,0.004972360096871853,1.2408996,-0.09224739670753479
6,700,0.0021133730188012123,1.1404147,-0.09504400938749313
7,800,0.002021733671426773,1.1081196,-0.09354283660650253
8,900,-0.0029660146683454514,1.1717831,-0.0969972163438797
9,1000,-0.00253964401781559,1.2158875,-0.09651592373847961
10,1100,-0.004935240373015404,1.0968628,-0.09475307166576385
11,1200,-0.005031122826039791,0.94731355,-0.09870713949203491
12,1300,-0.006928454153239727,0.8191712,-0.09848139435052872
13,1400,-0.01048062089830637,0.7292378,-0.10180109739303589
14,1500,-0.012001276016235352,0.662511,-0.09921173006296158
15,1600,-0.015679743140935898,0.6489946,-0.09892023354768753
16,1700,-0.017812274396419525,0.66045225,-0.10555025935173035
17,1800,-0.023958729580044746,0.65570647,-0.1000623032450676
18,1900,-0.026158221065998077,0.6483858,-0.10391370952129364
19,2000,-0.030395828187465668,0.63372934,-0.09827303886413574
20,2100,-0.03889033570885658,0.625102,-0.10020793974399567
21,2200,-0.04408475384116173,0.62047064,-0.10255560278892517
22,2300,-0.04231303185224533,0.60422915,-0.10542644560337067
23,2400,-0.059691742062568665,0.60326254,-0.09992361813783646
24,2500,-0.06583234667778015,0.6001635,-0.09603174030780792
25,2600,-0.06368985027074814,0.5981141,-0.09294423460960388
26,2700,-0.07202564179897308,0.589778,-0.09162215888500214
27,2800,-0.07256455719470978,0.59227693,-0.08807887136936188
28,2900,-0.09316480904817581,0.58368003,-0.0868743434548378
29,3000,-0.09824620187282562,0.5750288,-0.08358697593212128
30,3100,-0.09530138969421387,0.5660455,-0.08466311544179916
31,3200,-0.10683922469615936,0.5622934,-0.08162494003772736
32,3300,-0.11385191977024078,0.56333137,-0.06196261942386627
33,3400,-0.11956505477428436,0.55979794,-0.06664080172777176
34,3500,-0.13533391058444977,0.55116117,-0.05033684894442558
35,3600,-0.14005069434642792,0.55012137,-0.05166761949658394
36,3700,-0.14574205875396729,0.5565043,-0.05983278155326843
37,3800,-0.1488833874464035,0.5606206,-0.0359397754073143
38,3900,-0.1808609813451767,0.55832916,-0.027209078893065453
39,4000,-0.15794508159160614,0.5379347,-0.016224846243858337
40,4100,-0.23599088191986084,0.5435767,-0.013934583403170109
41,4200,-0.24457992613315582,0.5485582,0.01713905856013298
42,4300,-0.2468571662902832,0.52937543,0.019342124462127686
43,4400,-0.24641284346580505,0.54310054,0.026601722463965416
44,4500,-0.27788007259368896,0.5304542,0.02194724977016449
45,4600,-0.2848142683506012,0.52655226,0.049688130617141724
46,4700,-0.27933362126350403,0.5259543,0.04708282649517059
47,4800,-0.3807937502861023,0.52278185,0.07291065156459808
48,4900,-0.34912529587745667,0.52440006,0.10094080120325089
49,5000,-0.30600810050964355,0.513469,0.1034902036190033
50,5100,-0.36969679594039917,0.50427645,0.1156998947262764
51,5200,-0.45014816522598267,0.49884647,0.14493614435195923
52,5300,-0.41394439339637756,0.49622956,0.14561907947063446
53,5400,-0.4106084108352661,0.48958823,0.17719188332557678
54,5500,-0.45564645528793335,0.4829441,0.20487457513809204
55,5600,-0.49735742807388306,0.48202932,0.2252129763364792
56,5700,-0.5818626880645752,0.47340566,0.2401106059551239
57,5800,-0.5948245525360107,0.47168598,0.26560303568840027
58,5900,-0.5642263293266296,0.45602262,0.27663329243659973
59,6000,-0.6635195016860962,0.45998374,0.29022735357284546
60,6100,-0.7317396998405457,0.43738633,0.33676716685295105
61,6200,-0.7417754530906677,0.43689427,0.36481422185897827
62,6300,-0.723870038986206,0.42897156,0.3859127163887024
63,6400,-0.911407470703125,0.4298891,0.404107004404068
64,6500,-0.795311450958252,0.41944683,0.42639315128326416
65,6600,-0.8888943791389465,0.4062826,0.48648613691329956
66,6700,-0.8396536111831665,0.39852333,0.4984324276447296
67,6800,-0.8999264240264893,0.39706936,0.5044085383415222
68,6900,-1.073427677154541,0.383797,0.5727396607398987
69,7000,-1.172339916229248,0.37910435,0.6259722709655762
70,7100,-0.9245104789733887,0.37079933,0.6212781071662903
71,7200,-1.1212395429611206,0.36943057,0.6696577668190002
72,7300,-1.2130500078201294,0.35873353,0.6873733997344971
73,7400,-1.4179213047027588,0.358119,0.7328191995620728
74,7500,-1.2927628755569458,0.35637406,0.820498526096344
75,7600,-1.204805612564087,0.34894294,0.8185899257659912
76,7700,-1.455197811126709,0.3414327,0.8898168206214905
77,7800,-1.6232494115829468,0.3368026,0.9639608860015869
78,7900,-1.5378239154815674,0.33880538,0.9854079484939575
79,8000,-1.581923246383667,0.3316712,1.0010521411895752
80,8100,-1.842660665512085,0.33184987,1.072011947631836
81,8200,-1.7795530557632446,0.32853875,1.0675526857376099
82,8300,-1.870622158050537,0.32678112,1.2180901765823364
83,8400,-1.920905590057373,0.32261804,1.2243229150772095
84,8500,-1.9290642738342285,0.3282621,1.2728252410888672
85,8600,-2.3491578102111816,0.32217485,1.3882837295532227
86,8700,-1.7707712650299072,0.32078898,1.4240700006484985
87,8800,-2.021862030029297,0.3209968,1.3984434604644775
88,8900,-2.1545820236206055,0.3209042,1.444181203842163
89,9000,-2.2194230556488037,0.3206925,1.5675363540649414
90,9100,-2.2679567337036133,0.3156163,1.6987570524215698
91,9200,-2.3604276180267334,0.31350467,1.652052879333496
92,9300,-2.5125234127044678,0.309762,1.8213000297546387
93,9400,-2.691067695617676,0.310298,1.9861644506454468
94,9500,-3.0643551349639893,0.31206483,2.016254186630249
95,9600,-2.9964146614074707,0.30766717,2.1150383949279785
96,9700,-2.8653807640075684,0.30655465,2.1459450721740723
97,9800,-3.1144816875457764,0.3024482,2.216463565826416
98,9900,-3.6640305519104004,0.30169383,2.4612228870391846
99,10000,-3.5249340534210205,0.30609477,2.4747891426086426
100,10100,-3.3838706016540527,0.2960199,2.4519455432891846
101,10200,-3.4684085845947266,0.29575032,2.5751852989196777
102,10300,-3.931565046310425,0.29891318,2.5969350337982178
103,10400,-4.037006378173828,0.29721603,2.6953952312469482
104,10500,-3.805006265640259,0.29537624,2.7976953983306885
105,10600,-4.318486213684082,0.28782433,2.9927992820739746
106,10700,-4.140797138214111,0.29936862,3.137514114379883
107,10800,-4.6506876945495605,0.28918764,3.231415033340454
108,10900,-4.549736022949219,0.29712063,3.1063833236694336
109,11000,-4.7447075843811035,0.28758645,3.532897710800171
110,11100,-4.511044502258301,0.29574722,3.6663269996643066
111,11200,-5.1533918380737305,0.28717694,3.758176803588867
112,11300,-5.538023948669434,0.28983843,3.916003465652466
113,11400,-5.19624137878418,0.29066566,4.008706569671631
114,11500,-5.206997394561768,0.28260654,4.1161980628967285
115,11600,-5.353220462799072,0.28640455,4.026211261749268
116,11700,-5.402674198150635,0.28536192,4.1799750328063965
117,11800,-6.104523658752441,0.2934972,4.509624481201172
118,11900,-5.852373123168945,0.2928932,4.662835597991943
119,12000,-6.374059200286865,0.28472593,4.735472202301025
120,12100,-6.3943963050842285,0.29173568,5.2386579513549805
121,12200,-6.656476974487305,0.28511244,5.094303131103516
122,12300,-5.81587553024292,0.29206192,4.956653594970703
123,12400,-7.443702220916748,0.2863548,5.467658519744873
