,URef,PLExp,IECturbc,TwrBsMyt_[kN-m] ST_DEL
14883,12.9948781579733,0.107399639859796,8.07457719929516,12761.589755682193
14884,6.7655116841197,0.0536857173778116,23.0608521960676,17404.376424270817
14885,7.53868842124939,0.946183836366981,32.2138289920986,20586.609959970385
14886,5.83417147025466,1.12323010228574,51.543489145115,32377.017307462495
14887,6.25851459428668,0.371846528444439,10.2860736194998,8065.0966024531845
14888,4.60011517256498,-0.0651052786968649,51.8860154785216,30791.422233061912
14889,13.0921705029905,0.813022645749152,15.7945109065622,21676.517016447742
14890,4.16155786812305,0.592917839251459,8.9858609251678,4819.058654444536
14891,14.6359190866351,0.0377651878632605,4.60057631134987,5625.473434614269
14892,5.39967372640967,0.921738641895354,64.7819370031357,57050.017505134456
14893,4.35190753638744,0.804788777977228,31.745652621612,22514.867336908163
14894,4.09710427373648,-0.266855643410236,57.3972720187157,26394.755120018297
14895,4.79319117590785,-0.227257376629859,81.7898240871727,70725.30435359203
14896,17.8468056730926,0.433045090269297,4.96072852984071,7666.267260879529
14897,4.3157670982182,1.19091442646459,90.3616511262953,58852.675226926876
14898,10.0546213760972,-0.156906381621957,12.5103949103504,16777.743880898426
14899,19.5705016851425,0.356691414769739,17.4822959583253,29975.705510798725
14900,7.42646464705467,1.02189186187461,9.08767632208765,7125.261340132263
14901,6.522376999259,0.342916283756494,43.3497465681285,33405.67698216289
14902,12.3825595490634,-0.0357987265102566,24.8387649189681,33577.71586711597
14903,5.90055558457971,0.035119853913784,13.1029668264091,10128.571772977179
14904,10.7913910001516,-0.237798791192472,19.9850217439234,20374.14687712301
14905,6.33785165473819,0.526958514284342,38.3889653719962,21983.504001527446
14906,6.54832541570067,-0.0266525695100427,32.654209015891,27385.557652802854
14907,5.75725197419524,0.927688326127827,4.68257730826736,4966.851079716227
14908,4.66650152206421,1.14650473939255,14.7358349058777,11875.151887909438
14909,9.48653142526746,0.873590541165322,26.5903465915471,25884.9155546883
14910,5.03300038725138,1.64312504995614,46.2857380975038,30376.631677607435
14911,4.47912543639541,1.60412340182811,96.4537460356951,56310.58838795223
14912,13.3436866626143,0.300374103803188,5.90770812705159,7793.729752166222
14913,7.11433024704456,0.354404397308826,19.0652443561703,13538.093131383439
14914,12.2326360978186,0.665476159192622,12.1923536527902,18054.197436327733
14915,22.0025127343833,0.56184780607,8.02727937698364,14283.482460545889
14916,6.46682792901993,0.785455073881894,41.7599286418408,28885.760238045616
14917,6.04478833824396,-0.285700315050781,9.73566672764719,7879.800064984818
14918,4.85697097703815,0.902607857715338,18.6938775703311,13593.155345323554
14919,13.2109741456807,0.616707517486066,7.51712392084301,10168.300435233066
14920,14.7533214241266,0.207144935801625,10.5353588238359,13840.489070058713
14921,15.8254615180194,-0.139694481436163,8.86460817418993,12240.717455355243
14922,12.3689342811704,0.415859837085009,10.5829082429409,16042.229912133233
14923,6.94034099206328,0.670772949047387,22.4325528368354,20167.143044211327
14924,5.53002046048641,1.16584063693881,61.1182891298085,46912.50373609782
14925,5.87716469168663,0.773962573427707,27.0795876625925,21753.66693616454
14926,15.4226399734616,0.144291740842164,22.6884737145156,30829.187694072403
14927,4.25446133688092,0.0541806233115494,60.4707763530314,39234.15401827489
14928,12.7935230880976,0.334967153333127,21.8581383582205,29488.19652026313
14929,18.0629637055099,0.023119571711868,14.953654864803,23567.008051672885
14930,4.5464937351644,0.54608710501343,28.6667953245342,19286.914773575456
14931,19.1909935474396,0.234222524147481,7.11386483162642,12182.595765771051
14932,9.64559224992991,0.827992866933346,2.73719513788819,4289.738527074205
14933,8.32552389800549,1.1228821747005,13.8263660017401,12339.184918768866
14934,10.1719248630106,0.0882529338821769,11.4819472655654,11153.846862873554
14935,4.50455804914236,0.860472642164677,91.971145151183,65772.0251934946
14936,8.48744315654039,0.164599172212183,3.64790917374194,4325.942344858515
14937,4.65208628773689,0.102162190992385,82.8181840013713,64150.0416260573
14938,6.67294218763709,0.592424030043185,46.4232352562249,41255.70930436709
14939,12.8566731475294,-0.214508532173932,6.46022334694862,8710.471285108857
