,PLExp,URef,IECturbc,TwrBsMyt_[kN-m] max,TwrBsMyt_[kN-m] stddev,TwrBsMyt_[kN-m] ST_DEL,RootMyb1_[kN-m] mean,RootMyb1_[kN-m] max,RootMyb1_[kN-m] stddev,RootMyb1_[kN-m] ST_DEL,RootMxb1_[kN-m] mean,RootMxb1_[kN-m] max,RootMxb1_[kN-m] stddev,RootMxb1_[kN-m] ST_DEL,YawBrMyn_[kN-m] mean,YawBrMyn_[kN-m] max,YawBrMyn_[kN-m] stddev,YawBrMyn_[kN-m] ST_DEL
1720,1.1376446606591342,4.658496972173452,7.098229788243771,2871.7288143740298,5086.6293632142915,4481.129685988872,9396.356361797736,14330.446648057681,3363.8110081188865,5228.508841770603,605.4051204684444,14390.736738393372,9700.626141493483,19351.895102839473,-41871.24239418676,-40482.146034783415,747.9188676626377,535.1496202590379
1721,0.120581052545458,8.431953765451908,15.463597979396582,138682.01480092178,14671.705052352854,18485.553498151585,26406.07902912014,32158.705662069104,3813.370051649206,9517.746393505153,2513.7270134252167,18471.21956531729,9698.643221372886,20105.335316048262,-45730.79134704841,-38893.044743946506,2141.869988923248,2321.0238044049165
1722,1.6565313791856169,4.0492775440216064,98.58086840249598,117885.96653833761,43905.80614262055,37997.129394709176,11960.50559185002,37026.18100531308,11223.732191846717,18111.572920038565,951.4590480961987,20494.046564536944,9790.19867410461,20443.595745928378,-51150.60934135176,-19905.41954805314,6061.885039476083,4967.140253039772
1723,-0.0191282317042351,6.960937414318323,6.616605212911964,53406.292563370705,6434.180451963632,4617.398341654007,18265.25059086179,22195.92617478621,1424.3279581952047,3093.3798959804317,1481.2366650424306,15453.254669162441,9443.603282136408,19881.936285878677,-48484.294552555155,-46431.88406600811,820.0487446205316,652.4699629377114
1724,0.9657542596571148,7.418807461857796,13.226199802011251,94711.6615327918,9383.580849631984,9227.002405856456,24743.015595845696,33930.61216968376,6661.682632537114,14856.967254136041,1965.1353232703136,18235.678170180036,10248.67661613207,21233.4535855829,-35988.71086176868,-27878.415855056024,2054.9829026691714,1424.9715993257
1725,0.5925234979018568,6.634385786950588,41.90616086125374,133667.70609947183,22005.67831744738,38206.24473353358,17003.448510802595,33433.2143720152,6915.739365336486,20873.296625351355,2040.954361387308,20327.96300556594,9802.406337607363,20227.56049033162,-42262.3960166953,-26348.113836026467,5363.265983680085,4514.128601242608
1726,0.7182707686908543,5.989377252757549,34.07169599086046,108204.19940677396,20571.741109430575,22486.391770802795,12789.69854934533,29827.911023844266,5883.981039863319,16235.444103678292,968.0484569220727,18427.417950213,9777.96271126061,20009.21688948498,-42152.641612690284,-31724.135768348035,3566.979941997278,3539.7423600568472
1727,0.3779473894275725,12.98583048954606,5.710693169385195,138472.08202612575,8452.816677964642,8429.08019112055,21669.597508650284,37238.06095732954,5559.4554525769345,12531.624527551854,378.389574712109,16971.2271396217,9790.817017316742,20296.218891088098,-38555.578380241845,-34120.00818307895,1173.298157744839,1535.4398742549797
1728,0.2148405084386467,17.14211981371045,5.912004550918937,73120.72040134345,6090.169645987748,9632.052821421737,15579.972779856153,26262.210487597193,5327.325423878968,11444.70855995372,-605.9041742221474,14896.297605441589,9163.078376170042,19438.50820183269,-41112.482768080736,-34895.92955162704,1982.1658521998083,2268.138708239003
1729,0.2826630864292382,4.325332302600145,25.21553956903517,29221.26310816416,18240.898258877183,21301.234867291354,7931.895452895949,16247.032799172535,1637.9192538438483,7217.86575298391,429.78404286679233,14848.27382674745,9514.35007884329,18770.44462379538,-48466.677478526,-44309.120561387586,1684.1555774038286,1581.13843377203
1730,-0.032497342955321,15.41369380056858,18.848329223692417,155065.03020023683,22869.07928649857,27417.250221074315,17958.572648390575,42623.33461198417,5413.469035708418,12605.374668392811,-510.5412030576259,15047.074960510748,9291.749738832692,19550.718510290943,-47409.36118129122,-34985.61212370045,4650.016803410164,6039.548150228035
1731,1.8777245571836827,4.233261212706566,11.105257412418725,18800.512468401168,8861.891691939536,7839.787980925868,11314.104004942445,19009.796316635344,4741.901492629779,10065.927812546634,1008.6220877489336,14664.33915323767,9809.658517563377,19963.40913486692,-39862.321325259596,-33058.67197223929,2404.6733600997104,3072.183210832465
1732,-0.0319138293154537,4.666118673980236,39.78080456145108,88179.09679575724,25338.05742624386,21968.471330976874,8052.43013561816,17456.847843033713,4485.657527249317,10730.721235554112,900.2338052566973,16821.42923690332,9429.144533924984,18974.763072518435,-49679.68037297446,-41412.95335599885,2937.5319316412515,2488.8545641550845
1733,0.9799831479787826,4.518309008330107,55.21591901779175,114809.41761146212,48740.968651156516,34384.15153950658,10447.81413824317,29360.83776010804,7180.60906935408,14643.708710679002,690.1079380825412,17522.946655530126,9522.281097058563,19204.80623838464,-44088.27323842518,-29465.553220458907,3720.9033467794984,3443.141822659981
1734,0.5783121229149402,5.003571096807718,8.889177348464727,3153.676412709654,8217.7664292353,6511.281179534923,9542.305268617229,13348.72392322616,1887.2256710766524,3305.749284002419,527.9533735583595,14919.924668895643,9564.971342288598,19215.262760338355,-45356.07089667811,-43076.83811762545,881.2047219472311,-806.8186512896418
1735,0.421498616784811,5.368492133915424,17.590259900316596,39637.02186836415,18262.044133215815,10450.690367547757,11433.284172784837,19823.411880082538,2451.7496593124833,7745.73731549981,728.6756540177022,15423.693458130492,9577.932902620076,19327.605162507803,-45994.858429488595,-41917.68154899323,1267.3999029759455,1531.9599039709751
1736,0.934842585492879,5.958100888878107,14.3874934874475,86559.84014504851,9461.48138874888,9712.370953741423,14293.056591226488,24596.35166807598,4122.662207800462,10040.069681361401,1110.2668245461934,16408.254690018628,9735.141041466468,20020.642518081768,-47119.07197085274,-36396.56572010154,1464.4544390033166,681.0105164572306
1737,0.2602588680572807,7.52200822904706,27.78107989579439,149094.91792535226,21388.225388987306,28603.791401791597,26650.903204185575,29596.90516892998,5564.665813186528,15340.807330622847,2166.770511892895,19054.588790587593,9691.721098485317,20697.330053172525,-44852.01016048876,-34191.05985722055,2939.150338270601,2927.1665534841486
1738,-0.259844924416393,9.57827565819025,16.95686923339963,137630.82710162498,17232.904711863175,19339.85471198415,28208.226714920027,42648.18849495108,5625.527534661589,11658.155449546159,2617.4332257851097,17980.83464480653,9297.136282670197,19423.220152824862,-51114.1411959503,-41518.498855565274,2918.1621226442494,2584.0649752364598
