,URef,PLExp,IECturbc,TwrBsMxt_[kN-m] mean,TwrBsMxt_[kN-m] min,TwrBsMxt_[kN-m] max,TwrBsMxt_[kN-m] stddev,TwrBsMxt_[kN-m] ST_DEL,TwrBsMxt_[kN-m] LT_DEL,TwrBsMyt_[kN-m] mean,TwrBsMyt_[kN-m] min,TwrBsMyt_[kN-m] max,TwrBsMyt_[kN-m] stddev,TwrBsMyt_[kN-m] ST_DEL,TwrBsMyt_[kN-m] LT_DEL,TwrBsMzt_[kN-m] mean,TwrBsMzt_[kN-m] min,TwrBsMzt_[kN-m] max,TwrBsMzt_[kN-m] stddev,TwrBsMzt_[kN-m] ST_DEL,TwrBsMzt_[kN-m] LT_DEL,RootMyb1_[kN-m] mean,RootMyb1_[kN-m] min,RootMyb1_[kN-m] max,RootMyb1_[kN-m] stddev,RootMyb1_[kN-m] ST_DEL,RootMyb1_[kN-m] LT_DEL,RootMxb1_[kN-m] mean,RootMxb1_[kN-m] min,RootMxb1_[kN-m] max,RootMxb1_[kN-m] stddev,RootMxb1_[kN-m] ST_DEL,RootMxb1_[kN-m] LT_DEL,YawBrMxn_[kN-m] mean,YawBrMxn_[kN-m] min,YawBrMxn_[kN-m] max,YawBrMxn_[kN-m] stddev,YawBrMxn_[kN-m] ST_DEL,YawBrMxn_[kN-m] LT_DEL,YawBrMyn_[kN-m] mean,YawBrMyn_[kN-m] min,YawBrMyn_[kN-m] max,YawBrMyn_[kN-m] stddev,YawBrMyn_[kN-m] ST_DEL,YawBrMyn_[kN-m] LT_DEL,YawBrMzn_[kN-m] mean,YawBrMzn_[kN-m] min,YawBrMzn_[kN-m] max,YawBrMzn_[kN-m] stddev,YawBrMzn_[kN-m] ST_DEL,YawBrMzn_[kN-m] LT_DEL
2191,4.779885856879265,0.653677929469088,5.766883616913314,4638.891,-7771.859,16624.414,5131.211,8818.051,13197.013,-8981.434,-23989.346,2938.397,4984.243,7628.761,11417.132,807.44,-418.032,2046.56,387.112,572.769,857.201,8838.179,5682.354,12073.856,1441.927,3362.174,4547.82,633.999,-13077.019,14409.939,9566.928,19128.93,27904.193,2412.077,1916.3,2867.05,166.923,199.208,298.133,-45648.891,-46812.828,-43950.512,415.2,514.48,769.967,807.456,-417.933,2046.55,387.098,572.739,857.156
2192,21.346039726486588,0.5557181734890704,12.24797244121703,35249.875,6332.082,64719.609,9257.085,14307.265,9601.486,36660.133,-15381.879,97467.383,14749.409,22910.221,15374.857,9981.503,-4639.899,24484.805,4367.916,4816.196,3232.109,10520.328,-16924.098,36550.348,13103.922,30771.211,31435.129,-119.123,-17931.904,17101.084,9151.848,19155.416,19673.422,13386.312,11830.539,15372.172,551.208,658.046,441.609,-27855.816,-45709.961,-10868.924,4814.941,5665.206,3801.873,9981.461,-4639.778,24485.09,4367.867,4816.127,3232.062
2193,7.665787519493268,-0.0351860732752156,13.830915593942064,5643.354,643.042,9711.379,1351.843,2074.563,3309.183,55762.34,21524.189,90164.195,14849.125,11679.633,18630.441,-564.052,-5325.67,5305.208,1762.977,1806.928,2882.271,20534.986,13780.744,29599.416,2757.868,7600.8,10513.182,1879.669,-13043.751,16369.811,9509.419,19654.258,29481.547,5726.829,4102.791,7639.979,782.343,588.187,938.23,-48105.363,-53301.418,-43751.477,1439.469,1592.776,2540.673,-563.994,-5325.564,5305.185,1762.974,1806.921,2882.26
2194,16.582494968551153,0.0719569388008662,18.13579752243973,14394.63,-5296.011,34036.473,7089.92,10676.49,12467.941,45790.855,-16780.598,149738.656,22556.949,31248.809,36492.172,1034.998,-16056.801,16490.359,4651.315,5879.58,6866.138,16472.617,-7241.579,37608.926,6131.612,20181.646,25028.324,-325.23,-16787.477,16370.715,9485.118,19729.895,25820.744,11937.235,9960.181,13864.141,539.405,692.136,808.272,-46581.883,-64316.32,-29903.934,5113.76,5947.702,6945.69,1035.084,-16057.186,16490.479,4651.287,5879.527,6866.076
2195,5.0590286895075085,1.66488711373493,38.732077381277705,9953.524,-25174.387,36767.742,7304.278,14484.845,22572.193,24430.783,-53682.879,84803.648,25901.338,26032.109,40566.66,2919.152,-6916.713,11725.354,3150.316,4088.485,6371.215,13894.699,2324.83,32574.473,6177.489,14534.209,19939.734,1300.647,-15616.716,17404.143,10032.755,20606.248,30595.594,4589.322,1445.86,7766.036,1338.116,1025.569,1598.177,-38364.078,-47605.883,-28230.529,3948.25,3954.926,6163.086,2919.203,-6916.328,11725.215,3150.272,4088.394,6371.074
2196,5.888201247511201,0.3528970136557263,44.760754169318005,4732.586,-24854.012,34164.922,8402.8,14958.99,22956.184,11517.063,-65187.156,95386.562,32403.857,33077.332,50760.73,670.041,-10327.94,12329.452,3641.948,3621.544,5557.649,12687.637,1907.941,30821.547,5158.179,12423.104,16952.207,1150.655,-15250.515,17093.645,9627.883,19723.131,29088.475,3611.875,720.151,7808.025,1455.7,1107.829,1700.083,-47002.168,-56948.027,-37422.961,2835.152,3308.793,5077.7,670.086,-10327.779,12329.403,3641.851,3621.441,5557.491
2197,12.058681907508856,0.1787162489509878,18.556662765699357,14469.835,2671.008,25096.469,4285.492,6297.087,9528.733,96898.18,29943.412,159861.375,22732.082,27011.166,40873.215,1299.61,-9341.637,12614.216,3323.307,3666.341,5547.897,25754.547,8776.733,39007.426,5023.406,14055.313,19085.387,1405.924,-14988.359,19316.152,9833.116,20433.154,29950.973,11787.861,7313.978,13138.186,780.049,988.68,1496.067,-42480.262,-53905.98,-28649.631,3574.896,3897.719,5898.017,1299.691,-9341.732,12614.213,3323.316,3666.347,5547.906
2198,7.955276746677084,0.8247521090002778,17.78110870797463,12339.986,5630.047,19184.633,2117.282,2640.076,4227.052,72484.578,27487.434,119314.523,19657.023,14449.825,23135.758,4618.55,-2461.257,13090.608,2280.068,2530.065,4050.913,21368.65,7811.65,37280.531,6314.915,14772.731,20459.979,2037.384,-13670.266,17986.609,10220.243,21238.547,31910.256,7005.197,4672.08,9359.826,1019.13,726.262,1162.826,-35809.656,-44441.504,-28004.9,2550.121,2738.489,4384.621,4618.588,-2461.171,13090.637,2280.067,2530.068,4050.917
2199,5.404713564554284,1.424667173774197,18.045616765703414,9891.098,-754.279,18255.859,2700.839,4530.276,7072.407,25663.451,-24938.418,59368.801,14460.043,13940.206,21762.646,2901.174,-1576.397,8104.388,1661.276,2173.982,3393.896,14040.152,4193.014,27189.088,5155.73,11717.433,16085.492,1307.164,-14400.523,16130.953,9938.811,20298.559,30162.516,4584.692,2826.955,6272.028,700.098,504.392,787.427,-38221.133,-44819.469,-32482.484,2113.18,2329.471,3636.636,2901.207,-1576.34,8104.424,1661.269,2173.969,3393.875
2200,14.918284419410773,-0.0853842850250514,11.443174436777625,10665.711,1682.068,20725.896,3487.419,5227.317,7011.943,49738.922,18389.186,82595.742,10071.591,14080.344,18887.426,-3280.15,-14198.101,5709.351,3181.822,3247.186,4355.787,18315.691,6433.135,28471.363,3277.366,10200.802,13279.359,-337.582,-15203.345,13970.918,9290.087,19335.391,26886.328,11399.437,10239.604,12367.604,352.347,355.965,477.492,-50385.199,-61921.176,-41391.266,2977.089,3285.511,4407.197,-3280.021,-14198.174,5709.875,3181.813,3247.175,4355.772
