epoch,cgan,pearson,epoch,wcgan
,,,9700,1.813902
,,,9750,1.8471692
,,,9800,1.7877109
,,,9850,1.8150445
,,,9900,1.7528561
,,,9950,1.8171756
,,,10000,1.766565
,,,10050,1.7533766
,,,10100,1.8123233
,,,10150,1.8204178
,,,10200,1.7653583
,,,10250,1.7705493
,,,10300,1.7511392
,,,10350,1.764071
,,,10400,1.8186055
,,,10450,1.7771072
,,,10500,1.7689537
,,,10550,1.794196
,,,10600,1.7610534
,,,10650,1.7657006
,,,10700,1.8443043
,,,10750,1.7505542
,,,10800,1.7477642
,,,10850,1.8128155
,,,10900,1.7521132
,,,10950,1.7776358
,,,11000,1.7585931
,,,11050,1.7689488
,,,11100,1.8190058
,,,11150,1.7438323
,,,11200,1.7843919
,,,11250,1.7534795
,,,11300,1.8035765
,,,11350,1.7741743
,,,11400,1.7861702
,,,11450,1.8122647
,,,11500,1.6863348
,,,11550,1.7506397
,,,11600,1.6933532
,,,11650,1.760031
,,,11700,1.7259908
,,,11750,1.7214855
,,,11800,1.7406607
,,,11850,1.7162791
,,,11900,1.6789783
,,,11950,1.7238041
,,,12000,1.773936
,,,12050,1.7236005
,,,12100,1.6937814
,,,12150,1.710077
,,,12200,1.6872613
,,,12250,1.7097799
,,,12300,1.6712003
,,,12350,1.7159153
,,,12400,1.7168308
,,,12450,1.6543399
,,,12500,1.703578
,,,12550,1.6763328
,,,12600,1.6787533
,,,12650,1.6956773
,,,12700,1.6614995
,,,12750,1.7086322
,,,12800,1.6844476
,,,12850,1.682483
,,,12900,1.6360202
,,,12950,1.6390579
,,,13000,1.7039092
,,,13050,1.649187
,,,13100,1.698163
,,,13150,1.6502905
,,,13200,1.6430775
,,,13250,1.701974
,,,13300,1.6110731
,,,13350,1.5476677
,,,13400,1.5886655
,,,13450,1.6366928
,,,13500,1.6112022
,,,13550,1.6287456
,,,13600,1.6975442
,,,13650,1.6036991
,,,13700,1.6835642
,,,13750,1.6214054
,,,13800,1.6269063
,,,13850,1.6394267
,,,13900,1.593507
,,,13950,1.5989063
,,,14000,1.5660391
,,,14050,1.5448341
,,,14100,1.5920166
,,,14150,1.6149416
,,,14200,1.5541648
,,,14250,1.5824383
,,,14300,1.5426543
,,,14350,1.5514252
,,,14400,1.5300238
,,,14450,1.5895752
,,,14500,1.5938061
,,,14550,1.5869141
,,,14600,1.5142285
,,,14650,1.542083
,,,14700,1.5223472
,,,14750,1.5052011
,,,14800,1.5270461
,,,14850,1.5879196
,,,14900,1.5879163
,,,14950,1.5379415
,,,15000,1.5251285
,,,15050,1.5777146
,,,15100,1.5263515
,,,15150,1.5066769
,,,15200,1.4816052
,,,15250,1.5131965
,,,15300,1.462332
,,,15350,1.4351906
,,,15400,1.5131809
,,,15450,1.4363186
,,,15500,1.4929522
,,,15550,1.4435734
,,,15600,1.4787612
,,,15650,1.4843155
,,,15700,1.4245672
,,,15750,1.4237676
,,,15800,1.4436775
,,,15850,1.4559177
,,,15900,1.4962869
,,,15950,1.4435118
,,,16000,1.45552
,,,16050,1.4145824
,,,16100,1.3826724
,,,16150,1.4060805
,,,16200,1.3995907
,,,16250,1.3659587
,,,16300,1.3829845
,,,16350,1.3698323
,,,16400,1.3455844
,,,16450,1.3736125
,,,16500,1.3160863
,,,16550,1.4085644
,,,16600,1.385796
,,,16650,1.3302999
,,,16700,1.3209985
,,,16750,1.3306352
,,,16800,1.3234328
,,,16850,1.3505664
,,,16900,1.3356183
,,,16950,1.3147434
,,,17000,1.2683724
,,,17050,1.3001146
,,,17100,1.2860248
,,,17150,1.3439624
,,,17200,1.3069936
,,,17250,1.280343
,,,17300,1.301171
,,,17350,1.2408199
,,,17400,1.2440876
,,,17450,1.2823116
,,,17500,1.2365147
,,,17550,1.2836075
,,,17600,1.2548609
,,,17650,1.2509677
,,,17700,1.2249469
,,,17750,1.2344084
,,,17800,1.242534
,,,17850,1.2165588
,,,17900,1.2144717
,,,17950,1.2163712
,,,18000,1.2124695
,,,18050,1.2067087
,,,18100,1.2240796
,,,18150,1.2415841
,,,18200,1.2672929
,,,18250,1.2255358
,,,18300,1.2215251
,,,18350,1.2077538
,,,18400,1.1731732
,,,18450,1.2050242
,,,18500,1.2084818
,,,18550,1.2697848
,,,18600,1.1988796
,,,18650,1.1910291
,,,18700,1.1747028
,,,18750,1.1444943
,,,18800,1.2271057
,,,18850,1.2037083
,,,18900,1.1812838
,,,18950,1.148036
,,,19000,1.188157
,,,19050,1.2033893
,,,19100,1.1785411
,,,19150,1.20097
,,,19200,1.1817244
,,,19250,1.1841192
,,,19300,1.1955254
,,,19350,1.1891571
,,,19400,1.1728511
,,,19450,1.1651449
,,,19500,1.2143853
,,,19550,1.192473
,,,19600,1.1588123
,,,19650,1.1281654
,,,19700,1.1402678
,,,19750,1.1483731
,,,19800,1.1131576
,,,19850,1.1536453
,,,19900,1.1573852
,,,19950,1.0993776
,,,20000,1.1146141
