epoch,cgan,pearson,epoch,wcgan
50,-1.38839709758759,-1.41621375083923,50,-1.44484865665436
100,-0.886211156845093,-0.971160531044006,100,-1.44734561443329
150,-0.758731544017792,-0.802047848701477,150,-1.45376205444336
200,-0.60752135515213,-0.66350531578064,200,-1.45391309261322
250,-0.526804089546204,-0.643204033374786,250,-1.45967650413513
300,-0.51422917842865,-0.540429651737213,300,-1.45739567279816
350,-0.543670296669006,-0.547785699367523,350,-1.45931828022003
400,-0.568522453308106,-0.58434671163559,400,-1.4607617855072
450,-0.582275688648224,-0.576796770095825,450,-1.46228861808777
500,-0.625652551651001,-0.572390794754028,500,-1.45949244499207
550,-0.620139896869659,-320.002716064453,550,-1.45737481117249
600,-0.596059322357178,-421.011901855469,600,-1.4535436630249
650,-0.593082368373871,-2.79622769355774,650,-1.4482764005661
700,-0.602674663066864,-1.78718173503876,700,-1.43886363506317
750,-0.620639503002167,-0.921953916549683,750,-1.42606437206268
800,-0.564513504505158,-0.689010798931122,800,-1.40832221508026
850,-0.559641420841217,-0.636641323566437,850,-1.3803186416626
900,-0.570723414421082,-0.783904314041138,900,-1.34678781032562
950,-0.564157843589783,-0.625366389751434,950,-1.30516993999481
1000,-0.573097467422485,-0.714843094348908,1000,-1.25631177425385
1050,-0.556326031684876,-0.640966713428497,1050,-1.20299232006073
1100,-0.571328282356262,-1.86651861667633,1100,-1.15391969680786
1150,-0.55210542678833,-0.625256240367889,1150,-1.10103344917297
1200,-0.564416289329529,-0.575323820114136,1200,-1.05565309524536
1250,-0.596736788749695,-0.645090162754059,1250,-1.02025830745697
1300,-0.558243632316589,-0.61072164773941,1300,-0.999139666557312
1350,-0.555993676185608,-0.800987064838409,1350,-0.983297765254974
1400,-0.605678677558899,-0.652734816074371,1400,-0.971112012863159
1450,-0.563894748687744,-0.573664367198944,1450,-0.967619061470032
1500,-0.540730714797974,-0.60807067155838,1500,-0.952710866928101
1550,-0.539996922016144,-0.540539801120758,1550,-0.948956191539764
1600,-0.538682758808136,-0.573739469051361,1600,-0.946313798427582
1650,-0.542782723903656,-0.612363815307617,1650,-0.934904098510742
1700,-0.556126058101654,-0.589239418506622,1700,-0.932505548000336
1750,-0.579910814762116,-0.693131983280182,1750,-0.927265524864197
1800,-0.57644385099411,-0.631363928318024,1800,-0.919671535491943
1850,-0.572626054286957,-0.596304833889008,1850,-0.914547681808472
1900,-0.591918468475342,-0.669942796230316,1900,-0.911871016025543
1950,-0.59235143661499,-0.593141913414001,1950,-0.90228658914566
2000,-0.575160086154938,-0.604332089424133,2000,-0.903856575489044
2050,-0.602096498012543,-0.592387855052948,2050,-0.896404206752777
2100,-0.584416568279266,-0.651845335960388,2100,-0.890994071960449
2150,-0.588231384754181,-0.659287393093109,2150,-0.885514855384827
2200,-0.584340393543243,-0.622998118400574,2200,-0.881670892238617
2250,-0.569443464279175,-0.594786942005158,2250,-0.873221457004547
2300,-0.583903253078461,-0.574642360210419,2300,-0.867258787155151
2350,-0.576277434825897,-0.62211138010025,2350,-0.857926309108734
2400,-0.600769996643066,-0.587610304355621,2400,-0.857733547687531
2450,-0.590375900268555,-0.571260213851929,2450,-0.842453539371491
2500,-0.619894862174988,-0.555760979652405,2500,-0.836355924606323
2550,-0.58197146654129,-0.617391705513001,2550,-0.831081867218018
2600,-0.573527634143829,-0.616152703762054,2600,-0.81908130645752
2650,-0.577406287193298,-0.549638986587524,2650,-0.810672760009766
2700,-0.578057944774628,-0.579866826534271,2700,-0.795519769191742
2750,-0.564092218875885,-0.582032859325409,2750,-0.791813254356384
2800,-0.576693892478943,-0.604609608650208,2800,-0.783778309822083
2850,-0.560858428478241,-1.98156368732452,2850,-0.76873916387558
2900,-0.59284919500351,-0.573420524597168,2900,-0.754445135593414
2950,-0.597010731697083,-1.18539011478424,2950,-0.749412477016449
3000,-0.621423125267029,-0.560444712638855,3000,-0.752033054828644
3050,-0.558863639831543,-0.561274409294128,3050,-0.716334939002991
3100,-0.581750452518463,-0.583169519901276,3100,-0.712735712528229
3150,-0.656106948852539,-0.683352470397949,3150,-0.703711926937103
3200,-0.568273603916168,-0.58298659324646,3200,-0.679622769355774
3250,-0.554203987121582,-0.702737927436829,3250,-0.666225612163544
3300,-0.534192323684692,-0.546109974384308,3300,-0.646960914134979
3350,-0.571597099304199,-0.54861581325531,3350,-0.623355209827423
3400,-0.537389039993286,-0.575654566287994,3400,-0.618061006069183
3450,-0.554594159126282,-0.56102329492569,3450,-0.601390242576599
3500,-0.576724767684937,-0.541189193725586,3500,-0.584803402423859
3550,-0.568498373031616,-0.57648777961731,3550,-0.559225142002106
3600,-0.557433485984802,-0.524917721748352,3600,-0.542225122451782
3650,-0.546430587768555,-0.539561450481415,3650,-0.520629107952118
3700,-0.603480935096741,-0.525612473487854,3700,-0.482975244522095
3750,-0.530444622039795,-0.601173520088196,3750,-0.474071979522705
3800,-0.594707012176514,-0.700820207595825,3800,-0.463784873485565
3850,-0.52133584022522,-0.575170040130615,3850,-0.452218383550644
3900,-0.564571857452393,-0.507886528968811,3900,-0.425631582736969
3950,-0.541979193687439,-0.439034283161163,3950,-0.398824542760849
4000,-0.589485347270966,-0.527794659137726,4000,-0.403015106916428
,,,4050,-0.380348652601242
,,,4100,-0.366538465023041
,,,4150,-0.353393256664276
,,,4200,-0.355625659227371
,,,4250,-0.304578959941864
,,,4300,-0.340035617351532
,,,4350,-0.327828496694565
,,,4400,-0.323921978473663
,,,4450,-0.297560453414917
,,,4500,-0.296838790178299
,,,4550,-0.302844136953354
,,,4600,-0.286349415779114
,,,4650,-0.289638727903366
,,,4700,-0.284074813127518
